OSM_tag;OSM_full_description;OSM_path;FS_manual_path;FS_tag
money lender;A money lender offers small personal loans at high rates of interest.;shop > others > money lender;business professional services > financial service > loans agency;loans agency
drinking water;A facility that provides drinking water in emergency situations;emergency > structure > drinking water;business professional services > water treatment service;water treatment service
breakwater;A man-made structure designed to protect a shore or harbour from the sea and waves.;man made > man made > breakwater;landmarks outdoors > harbor marina;harbor marina
tbar;An overhead tow-line for skiers and riders with T-shaped carriers for two passengers.;aerialway > tbar;sports recreation > snow sports > ski resort area > ski chairlift;ski chairlift
pottery;Shop focused on selling earthenware, stoneware and porcelain and other ceramic ware.;shop > doityourself household building materials gardening > pottery;retail > arts crafts store;arts crafts store
kissing gate;A type of gate where you have to go into an enclosure and open a gate to get through.;barrier > access control highways > kissing gate;travel transportation;travel transportation
alternative;Someone practising alternative or complementary medicine but is not a medical practitioner or a place where alternative or complementary medicine is practices that does not fit into the other categories (except healthcare=yes);healthcare > alternative;health medicine > alternative medicine clinic;alternative medicine clinic
chalet;A holiday cottage with self-contained cooking and bathroom facilities.;tourism > chalet;travel transportation > lodging > lodge;lodge
graphic design;An office of a graphic designer.;office > graphic design;business professional services > design studio;design studio
residential;Roads which serve as an access to housing, without function of connecting settlements. Often lined with housing.;highway > roads > residential;travel transportation > road;road
charity;A charity shop is a shop operated by a charity, for the purposes of fundraising.;shop > discount store charity > charity;community government > organization > charity;charity
tram;"One or two carriage rail vehicle tracks, usually sharing motor road, sometimes called ""street running"" (Other languages).";railway > tracks > tram;travel transportation > transportation service;transportation service
fuel;Shop selling fuels (motor fuel, wood, coal, gas) that can't be considered a amenity=fuel (fuel station). Use fuel:*=yes/no to indicate which fuels are available.;shop > outdoors sport vehicles > fuel;travel transportation > fuel station;fuel station
zip line;Zip line, gravity propelled aerial ropeslide like a flying fox or similar;aerialway > zip line;sports recreation;sports recreation
parking entrance;An entrance or exit to an underground or multi-storey parking facility. Group multiple parking entrances together with a relation using the tags type=site and site=parking;amenity > transportation > parking entrance;travel transportation > parking;parking
semidetached house;"A residential house that shares a common wall with another on one side. Typically called a ""duplex"" in American English.";building > accommodation > semidetached house;community government > residential building > home private;home private
garden;A place where flowers and other plants are grown in a decorative and structured manner or for scientific purposes.;leisure > garden;landmarks outdoors > garden;garden
dental technician;A workplace for a dental technician who constructs custom-made restorative and dental appliances.;craft > dental technician;health medicine;health medicine
diplomatic;An embassy, diplomatic mission, consulate or liaison office of a foreign government or parastatal entity in a host country.;office > diplomatic;community government > government building > embassy consulate;embassy consulate
river;The linear flow of a river, in flow direction.;waterway > natural watercourses > river;landmarks outdoors > river;river
beacon;A structure for signalling on land and sea;man made > man made > beacon;landmarks outdoors > lighthouse;lighthouse
round tower;Slim, conical tower built as a bell tower and watchtower in Ireland.;historic > round tower;landmarks outdoors > historic protected site;historic protected site
photographic laboratory;A place where photos taken on a film or digital images are transformed into a more permanent form, often on paper or plastic foil.;craft > photographic laboratory;business professional services > photography service > photography lab;photography lab
sidewalk;Sidewalk that runs typically along residential road. Use in combination with highway=footway or highway=path;highway > footway > sidewalk;travel transportation > road;road
fireplace;Shop focused on selling electric fireplaces, stoves or masonry heaters and required fuels;shop > doityourself household building materials gardening > fireplace;retail > construction supplies store;construction supplies store
boundary stone;A historic physical marker that identifies a boundary;historic > boundary stone;landmarks outdoors > historic protected site;historic protected site
bench;A bench to sit down and relax a bit;amenity > facilities > bench;landmarks outdoors;landmarks outdoors
nursing home;Discouraged tag for a home for disabled or elderly persons who need permanent care. Use amenity=social_facility + social_facility=nursing_home now.;amenity > healthcare > nursing home;health medicine > nursing home;nursing home
living street;For living streets, which are residential streets where pedestrians have legal priority over cars, speeds are kept very low.;highway > special road types > living street;travel transportation > street;street
rail;Full sized passenger or freight train tracks in the standard gauge for the country or state.;railway > tracks > rail;travel transportation > train;train
neighbourhood;A neighbourhood is a smaller named, geographically localised place within a suburb of a larger city or within a town or village;place > populated settlements urban > neighbourhood;landmarks outdoors > states municipalities > neighborhood;neighborhood
traverser;These are used for changing trains between railways. Also known as transfer table.;railway > infrastructure > traverser;travel transportation > train;train
geodesist;An office of scientists studying Earth shape.;office > geodesist;business professional services > geological service;geological service
dive centre;A dive center is the base location where sports divers usually start scuba diving or make dive guided trips at new locations.;amenity > others > dive centre;sports recreation > water sports > scuba diving instructor;scuba diving instructor
valley;A natural depression flanked by ridges or ranges of mountains or hills;natural > geology related > valley;landmarks outdoors;landmarks outdoors
parking;Structure purpose-built for parking cars.;building > cars > parking;travel transportation > parking;parking
boathouse;A boathouse is a building used for the storage of boats.;building > storage > boathouse;business professional services > storage facility;storage facility
nightclub;"A place to drink and dance (nightclub). The German word is ""Disco"" or ""Discothek"". Please don't confuse this with the German ""Nachtclub"" which is most likely amenity=stripclub.";amenity > entertainment arts culture > nightclub;arts entertainment > night club;night club
place worship;A church, mosque, or temple, etc. Note that you also need religion=*, usually denomination=* and preferably name=* as well as amenity=place_of_worship. See the article for details.;amenity > others > place worship;community government > spiritual center;spiritual center
boatbuilder;A workplace where boats are planned and constructed;craft > boatbuilder;travel transportation;travel transportation
ger;A permanent or seasonal round yurt or ger.;building > accommodation > ger;travel transportation > lodging;lodging
grave yard;A (smaller) place of burial, often you'll find a church nearby. Large places should be landuse=cemetery instead.;amenity > others > grave yard;community government > cemetery;cemetery
stop;A stop sign;highway > highway features > stop;travel transportation > road > intersection;intersection
foundation;An office of a foundation;office > foundation;community government > organization > nonprofit organization;nonprofit organization
mosque;A mosque with a historical and archaeological value.;historic > mosque;community government > spiritual center > mosque;mosque
commercial;Predominantly commercial businesses and their offices. Commercial businesses which sell goods should be categorised as landuse=retail. Commercial businesses can sell services on site and may include private Doctor's Surgeries, and those non-government services for mental and physical health, such as a Counselor's or Physiotherapist's practice or Veterinary. Commercial businesses can also include office buildings and business parks which have limited interface with the public and sell their services either on site, or externally. Commercial businesses have low amounts of public foot traffic.;landuse > common landuse key values developed land > commercial;business professional services;business professional services
audiologist;"Audiologist; if linked with a shop please use shop=hearing_aids instead";healthcare > audiologist;health medicine > physician > ear nose throat doctor;ear nose throat doctor
swing gate;A gate consisting of a bar or pole pivoted (rotates sidewards to open) in such a way as to allow the boom to block vehicular access through a controlled point.;barrier > access control highways > swing gate;travel transportation;travel transportation
allotments;A separate settlement, which is located outside an officially inhabited locality and has its own addressing;place > populated settlements urban rural > allotments;landmarks outdoors > states municipalities > village;village
printer ink;A shop that sells or refills printer ink cartridges.;shop > electronics > printer ink;retail > print store;print store
paperhanger;The office of a paperhanger.;craft > paperhanger;business professional services > office;office
animal shelter;A shelter that recovers animals in trouble;amenity > others > animal shelter;community government > animal shelter;animal shelter
street lamp;A street light, lamppost, street lamp, light standard, or lamp standard is a raised source of light on the edge of a road, which is turned on or lit at a certain time every night;highway > highway features > street lamp;travel transportation > road;road
road;A road or street that is of historical importance.;historic > road;landmarks outdoors > historic protected site;historic protected site
residential;A general tag for a building used primarily for residential purposes. Where additional detail is available consider using 'apartments', 'terrace', 'house', 'detached' or 'semidetached_house'.;building > accommodation > residential;community government > residential building;residential building
traffic mirror;Mirror that reflects the traffic on one road when direct view is blocked.;highway > highway features > traffic mirror;travel transportation > road;road
beach;Landform along a body of water which consists of sand, shingle or other loose material.;natural > water related > beach;landmarks outdoors > beach;beach
plant;An industrial facility where power (electricity, useful heat, biogas) is produced by individual power generator units.;power > plant;business professional services > power plant;power plant
interior work;Workplace of a person who builds/installs non-load-bearing interior walls, especially drywall.;craft > interior work;business professional services > home improvement service > interior designer;interior designer
gate;A section in a wall or fence which can be opened to allow access.;barrier > access control highways > gate;travel transportation;travel transportation
traffic park;Juvenile traffic schools;amenity > education > traffic park;community government > education > driving school;driving school
landing site;Preselected flat area for a helicopter to land in an emergency situation;emergency > medical rescue > landing site;travel transportation > transport hub > heliport;heliport
signal;Any kind of railway signal.;railway > infrastructure > signal;travel transportation > train;train
confectionery;A place where the set of food items that are rich in sugar, any one or type of which is called a confection is produced.;craft > confectionery;retail > food beverage retail > candy store;candy store
railway;A sequence of railway ways, often named (e.g., Channel Tunnel). See Railways.;route > railway;travel transportation > train;train
quonset hut;A lightweight prefabricated structure in the shape of a semicircle.;building > buildings > quonset hut;landmarks outdoors;landmarks outdoors
transportation;A building related to public transport. You will probably want to tag it with proper transport related tag as well, such as public_transport=station. Note that there is a special tag for train station buildings - building=train_station.;building > civicamenity > transportation;travel transportation > transportation service > public transportation;public transportation
palaeontological site;A place with fossils.;geological > palaeontological site;landmarks outdoors > historic protected site;historic protected site
watering place;Place where water is contained and animals can drink;amenity > facilities > watering place;landmarks outdoors;landmarks outdoors
hearing aids;Shop focused on selling hearing aids devices;shop > health beauty > hearing aids;retail > medical supply store;medical supply store
line;A telecommunication line.;telecom > line;business professional services > telecommunication service;telecommunication service
weighbridge;A large weight scale to weigh vehicles and goods;amenity > transportation > weighbridge;travel transportation;travel transportation
industrial;Predominantly industrial landuses such as workshops, factories, or warehouses.;landuse > common landuse key values developed land > industrial;business professional services > industrial estate;industrial estate
accountant;An office for an accountant.;office > accountant;business professional services > financial service > accounting bookkeeping service;accounting bookkeeping service
temple;An ancient pagan temple in_situ and in various degree of preservation, such as Ziggurat, Egyptian temple, Mithraeum, Erechtheion, Buddhist, Meso-American and other ancient religious and rituals' temples, with a historical and archaeological value.;historic > temple;community government > spiritual center > temple;temple
entrance;An opening or gap in a barrier.;barrier > access control highways > entrance;travel transportation;travel transportation
tor;A large, free-standing rock outcrop that rises abruptly;geological > tor;landmarks outdoors;landmarks outdoors
tree house;An accommodation, often designed as a small hut, sometimes also as a room or small apartment. Built on tree posts or on a natural tree. A tree house has no contact with the ground. Access via ladders, stairs or bridgeways.;building > accommodation > tree house;community government > residential building;residential building
parcel locker;Machine for picking up and sending parcels;amenity > facilities > parcel locker;business professional services > shipping freight material transportation service;shipping freight material transportation service
inline skates;Inline has more information on the subject.;route > inline skates;sports recreation > skating;skating
inselberg;Inselberg are isolated rock hill, knob, ridge, or small mountain;geological > inselberg;landmarks outdoors > hill;hill
parking space;A single parking space within a car park. Parking spaces should be mapped within an amenity=parking area. Group multiple parking spaces together with a relation using the tags type=site and site=parking;amenity > transportation > parking space;travel transportation > parking;parking
cyclist waiting aid;Street furniture for cyclists that are intended to make waiting at esp. traffic lights more comfortable.;highway > highway features > cyclist waiting aid;travel transportation > street;street
vaccination centre;a healthcare facility specifically dedicated to administering vaccinations to individuals, to provide immunisation against infectious diseases.;healthcare > vaccination centre;health medicine > medical center;medical center
pavilion;A sports pavilion usually with changing rooms, storage areas and possibly an space for functions & events. Avoid using this term for other structures called pavilions by architects (see Pavilion);building > sports > pavilion;sports recreation > indoor play area;indoor play area
construction;Used for buildings under construction. Use construction=* to hold the value for the completed building.;building > buildings > construction;business professional services > construction;construction
stile;A structure which provides people a passage through or over a boundary via steps, ladders or narrow gaps.;barrier > access control highways > stile;travel transportation;travel transportation
coastline;The line between sea and land indicating mean high water (springs): the water lies on the right side of the way.;natural > water related > coastline;landmarks outdoors > waterfront;waterfront
dialysis;A clinic for day patients to get a haemodialysis Dialysis;healthcare > dialysis;health medicine > healthcare clinic;healthcare clinic
volcano;An opening exposed on the earth's surface where volcanic material is emitted.;natural > geology related > volcano;landmarks outdoors > volcano;volcano
refugee site;A human settlement sheltering refugees or internally displaced persons;amenity > others > refugee site;community government > homeless shelter;homeless shelter
office;Military offices, e.g. general staff office, military recruitment office etc;military > office;community government > government building > military > military base;military base
district;A district �?? a type of administrative division that, in some countries, is managed by local government.;place > administratively declared places > district;landmarks outdoors > states municipalities > county;county
lock;Water area of the lock chamber.;water > lock;landmarks outdoors > canal lock;canal lock
elevator;An elevator or lift, used to travel vertically, providing passenger and freight access between pathways at different floor levels.;highway > highway features > elevator;travel transportation;travel transportation
turner;A workplace or office of a turner.;craft > turner;business professional services > creative service;creative service
floorer;A workplace or office of a floorer.;craft > floorer;business professional services > home improvement service > carpet flooring contractor;carpet flooring contractor
lake;A natural or semi-natural body of relatively still fresh or salt water which is surrounded by land.;water > lake;landmarks outdoors > lake;lake
observatory;Observatory: a location used for observing terrestrial or celestial events.;man made > man made > observatory;community government > observatory;observatory
funeral hall;A place for holding a funeral ceremony, other than a place of worship.;amenity > others > funeral hall;community government > cemetery;cemetery
soakhole;The point at which a river or stream percolates into or through the soil;waterway > features waterways > soakhole;landmarks outdoors > river;river
garages;One level buildings with boxes commonly for cars, usually made of brick and metal. Usually this area belong to garage cooperative with own name, chairman, budget, rules, security, etc.;landuse > landuse key values > garages;travel transportation > parking;parking
hoodoo;A column of rock with a hat;geological > hoodoo;landmarks outdoors;landmarks outdoors
conservatory;A building or room having glass or tarpaulin roofing and walls used as an indoor garden or a sunroom (winter garden).;building > agriculturalplant production > conservatory;community government;community government
roundhouse;A semicircular building with many stalls for servicing engines.;railway > infrastructure > roundhouse;travel transportation;travel transportation
canoe;Signed route for canoeing through a waterway.;route > canoe;landmarks outdoors > river;river
school;A school for children run as part of a country's military;military > school;community government > government building > military;military
hitchhiking;Like a bus_stop but for free, uncertain, spontaneous rides with strangers.;highway > highway features > hitchhiking;travel transportation > road;road
checkpoint;Place where civilian visitors and vehicles will be checked by a military authority.;military > checkpoint;community government > government building > military;military
saddler;A place where saddles or accessories for cars and boats are produced or repaired.;craft > saddler;business professional services > automotive service > automotive repair shop;automotive repair shop
wash;A railroad carriage/car wash;railway > infrastructure > wash;business professional services > automotive service > car wash detail;car wash detail
water tap;Publicly usable water tap;man made > man made > water tap;business professional services > water treatment service;water treatment service
reef;A feature (rock, sandbar, coral, etc) lying permanently beneath the surface of the water.;natural > water related > reef;landmarks outdoors;landmarks outdoors
wayside cross;A historical cross along a way, symbol of Christian faith.;historic > wayside cross;landmarks outdoors > historic protected site;historic protected site
exchange;A place to connect landlines subscribers to telecommunication service equipments;telecom > exchange;business professional services > telecommunication service;telecommunication service
lift gate;A bar or pole pivoted (rotates upwards to open) in such a way as to allow the boom to block vehicular access through a controlled point.;barrier > access control highways > lift gate;travel transportation;travel transportation
turning circle;A turning circle is a rounded, widened area usually, but not necessarily, at the end of a road to facilitate easier turning of a vehicle. Also known as a cul de sac.;highway > highway features > turning circle;travel transportation > road;road
musical instrument;Shop focused on selling musical instruments, lyrics, scores. If focused on a specific instrument, specify with musical_instrument=*;shop > art music hobbies > musical instrument;retail > music store;music store
stilt house;A building raised on piles over the surface of the soil or a body of water;building > accommodation > stilt house;community government > residential building;residential building
ditch;A small artificial drainage waterway, usually unlined.;waterway > manmade waterways > ditch;landmarks outdoors > canal;canal
tertiary;The next most important roads in a country's system. (Often link smaller towns and villages);highway > roads > tertiary;travel transportation > road;road
blood donation;A facility where you can donate blood, plasma and/or platelets, and possibly have stem cell samples taken.;healthcare > blood donation;health medicine > blood bank;blood bank
office;An office building. Use office=* where applicable for the business(es) that use the building. Consider tagging the surrounding area using landuse=commercial if it applies. Prefer landuse=retail if the building consists primarily of shops.;building > commercial > office;business professional services > office > office building;office building
range;Where military personnel practice with their weapons (firing, bombing, artillery, ...).;military > range;sports recreation > gun range;gun range
state;A large sub-national political/administrative area.;place > administratively declared places > state;landmarks outdoors > states municipalities > state;state
driver training;A place for driving training on a closed course;amenity > transportation > driver training;sports recreation > race track > racecourse;racecourse
animal breeding;A facility where animals are bred, usually to sell them;amenity > others > animal breeding;business professional services > pet service;pet service
speech therapist;Someone who practices speech and language therapy.;healthcare > speech therapist;health medicine > mental health service > psychologist;psychologist
port;coastal industrial area where commercial traffic is handled. Consider using landuse=industrial + industrial=port for this type of industrial area.;landuse > landuse key values > port;travel transportation > port;port
tidal channel;A natural intertidal waterway in mangroves, salt marshes, and tidal flats with water flow in the direction of the tide.;waterway > natural watercourses > tidal channel;landmarks outdoors;landmarks outdoors
country;A nation state or other high-level national political/administrative area.;place > administratively declared places > country;landmarks outdoors > states municipalities > country;country
province;A subdivision of a country similar to a state.;place > administratively declared places > province;landmarks outdoors > states municipalities > state;state
water well drilling;A craftsman or company who drill water wells.;craft > water well drilling;business professional services;business professional services
motorcycle barrier;A barrier along a path preventing access by motorcycles.;barrier > access control highways > motorcycle barrier;landmarks outdoors;landmarks outdoors
machine;A historic machine.;historic > machine;landmarks outdoors > historic protected site;historic protected site
peninsula;A piece of land projecting into water from a larger land mass, nearly surrounded by water;natural > water related > peninsula;landmarks outdoors;landmarks outdoors
upholsterer;A place where furniture, especially seats are provided with padding, springs, webbing, and fabric or leather covers.;craft > upholsterer;business professional services > home improvement service > upholstery service;upholstery service
hot spring;A spring of geothermally heated groundwater;natural > water related > hot spring;landmarks outdoors > hot spring;hot spring
counselling;Healthcare counselling, e.g. an addiction centre, a nutritionist, or a sex therapist. Also see healthcare=nutrition_counselling;healthcare > counselling;community government > addiction treatment center;addiction treatment center
welder;One who unites pieces of metal with high temperature.;craft > welder;business professional services > welding service;welding service
goods conveyor;A conveyor system for transporting materials;man made > man made > goods conveyor;business professional services > shipping freight material transportation service;shipping freight material transportation service
apartment;A furnished apartment or flat with cooking and bathroom facilities that can be rented for holiday vacations.;tourism > apartment;travel transportation > lodging > vacation rental;vacation rental
silo;A silo is a building for storing bulk materials;building > powertechnical buildings > silo;business professional services > storage facility;storage facility
shared lane;"Cyclists share a lane with motor vehicles, there are markings reminding about this. In some places these markings are known as ""sharrows"" ('sharing arrows') and this is the tag to use for those.";highway > cycleway > shared lane;travel transportation > road;road
cooper;A person or company that manufacture of containers and vessels mainly made of wood.;craft > cooper;business professional services;business professional services
strait;A narrow area of water surrounded by land on two sides and by water on two other sides.;natural > water related > strait;landmarks outdoors;landmarks outdoors
vacuum cleaner;Shop focused on selling vacuum cleaners and associated products.;shop > electronics > vacuum cleaner;retail > furniture home store > home appliance store;home appliance store
retail;"Predominantly retail businesses such as shops. Retail businesses sell physical goods such as food (prepared or grocery), clothing, medicine, stationary, appliances, tools, or other similar physical items. Retail businesses have high amounts of public foot traffic. Retail businesses do not exclusively provide or sell their services. For businesses which sell services see landuse=commercial.
Generally a member of the public could freely walk into and access a retail business. Retail is a subset of commercial, but should be used and treated as mutually exclusive in OpenStreetMap.";landuse > common landuse key values developed land > retail;retail;retail
volcanic vent;A hole through which the lava erupts.;geological > volcanic vent;landmarks outdoors > volcano;volcano
sally port;A secure, controlled entryway to a fortification or prison.;barrier > access control highways > sally port;community government > prison;prison
cabinet maker;A person who makes fine wooden furniture;craft > cabinet maker;business professional services > home improvement service > carpenter;carpenter
suction point;A preferred point to pump water off a river or other waters for a fire department.;emergency > firefighters > suction point;health medicine > emergency service;emergency service
commercial;A building for non-specific commercial activities, not necessarily an office building. Consider tagging the surrounding area using landuse=commercial if there is such use. Use 'retail' if the building consists primarily of shops.;building > commercial;retail;retail
training area;A military training area/proving ground;military > training area;community government > government building > military > military base;military base
harbour master;The Harbourmaster's office.;office > harbour master;landmarks outdoors > harbor marina;harbor marina
height restrictor;A height restrictor which prevents access of vehicles higher than a set limit.;barrier > access control highways > height restrictor;travel transportation;travel transportation
elevator;Company specialized in installing elevators.;craft > elevator;business professional services;business professional services
photo booth;A stand to create instant photos.;amenity > others > photo booth;business professional services > photography service;photography service
cliff;A vertical or almost vertical natural drop in terrain, usually with a bare rock surface. The bottom of the cliff is on the right side of the way.;natural > geology related > cliff;landmarks outdoors;landmarks outdoors
tent;For a permanently placed tent. Do not map tents placed temporarily.;building > buildings > tent;landmarks outdoors > campground;campground
vending machine;A machine selling goods �?? food, tickets, newspapers, etc. Add type of goods using vending=*;amenity > others > vending machine;retail > food beverage retail;food beverage retail
works;A factory or industrial production plant.;man made > man made > works;business professional services > factory;factory
block;One or more large immobile block(s) usually barring free access along a way.;barrier > access control highways > block;travel transportation;travel transportation
marketplace;A marketplace where goods and services are traded daily or weekly.;amenity > others > marketplace;event > marketplace;marketplace
border zone;A border zone is an area near the border where special restrictions on movement apply. Usually a permit is required for visiting.;boundary > boundary types > border zone;travel transportation > border crossing;border crossing
turntable;These are used for changing the direction that part of a train is pointing in.;railway > infrastructure > turntable;travel transportation > train;train
snow fence;A fence-like structure built to redirect drifting snow.;man made > man made > snow fence;business professional services > home improvement service > fence contractor;fence contractor
fire service inlet;A inlet that allows the fire brigade pump water into a building.;emergency > firefighters > fire service inlet;health medicine > emergency service;emergency service
fort;A military fort, a stand-alone defensive structure which differs from a castle in that there is no permanent residence.;historic > fort;landmarks outdoors > historic protected site;historic protected site
castle;A building constructed as a castle. Can be further specified with historic=castle + castle_type=*.;building > buildings > castle;landmarks outdoors > castle;castle
kitchen;A public kitchen in a facility to use by everyone or customers;amenity > others > kitchen;business professional services;business professional services
religion;Shop focused on selling religious articles, church shop. See also religion=*;shop > others > religion;retail;retail
dog toilet;Area designated for dogs to urinate and excrete.;amenity > facilities > dog toilet;landmarks outdoors > park > dog park;dog park
bay;Named area of water mostly surrounded by land but with level connection to the ocean or a lake.;natural > water related > bay;landmarks outdoors > bay;bay
ditch;The water covered area of a waterway=ditch - a simple artificial waterway serving as a barrier or for draining surrounding land.;water > ditch;landmarks outdoors;landmarks outdoors
tower;This property distinguishes a tower as historic;historic > tower;landmarks outdoors > historic protected site;historic protected site
scrub;Uncultivated land covered with shrubs, bushes or stunted trees.;natural > vegetation > scrub;landmarks outdoors > forest;forest
farmyard;An area of land with farm buildings like farmhouse, dwellings, farmsteads, sheds, stables, barns, equipment sheds, feed bunkers, etc. plus the open space in between them and the shrubbery/trees around them.;landuse > common landuse key values rural agricultural land > farmyard;landmarks outdoors > farm;farm
trunk;The most important roads in a country's system that aren't motorways. (Need not necessarily be a divided highway.);highway > roads > trunk;travel transportation > road;road
fell;Habitat above tree line covered with grass, dwarf shrubs and mosses.;natural > vegetation > fell;landmarks outdoors;landmarks outdoors
adult gaming centre;A venue with gambling machines, usually with a minimum age requirement.;leisure > adult gaming centre;arts entertainment > casino;casino
sump buster;A barrier to stop cars (two tracked vehicles with less than a certain ground clearance and width between tracks).;barrier > access control highways > sump buster;travel transportation;travel transportation
farm auxiliary;A building on a farm that is not a dwelling (use 'farm' or 'house' for the farm house).;building > agriculturalplant production > farm auxiliary;landmarks outdoors > farm;farm
sculptor;The workplace of a sculptor.;craft > sculptor;business professional services > creative service;creative service
track;A track provides a route that is separated from traffic. In the United States, this term is often used to refer to bike lanes that are separated from lanes for cars by pavement buffers, bollards, parking lanes, and curbs. Note that a cycle track may alternatively be drawn as a separate way next to the road which is tagged as highway=cycleway.;highway > cycleway > track;sports recreation > running track > track;track
subway entrance;The entrance to a subway station, usually going from surface to underground.;railway > stations stops > subway entrance;travel transportation > transport hub > metro station;metro station
first aid school;A place where people can go for first aid courses.;amenity > education > first aid school;community government > education;education
subway;A city passenger rail service running mostly grade separated (see Wikipedia:rapid transit). Often a significant portion of the line or its system/network is underground.;railway > tracks > subway;travel transportation > transportation service > public transportation;public transportation
dressmaker;Dressmaker is a person who makes custom clothing for women, such as dresses, blouses, and evening gowns.;craft > dressmaker;business professional services > tailor;tailor
pagoda;A building constructed as a pagoda.;building > buildings > pagoda;community government > spiritual center > buddhist temple;buddhist temple
sun protection;A place where sun protection is made, repaired, or delivered for assembly, especially awnings and shutters.;craft > sun protection;business professional services > home improvement service > doors windows contractor;doors windows contractor
milestone;Highway location marker;highway > highway features > milestone;travel transportation > road;road
wastewater plant;A wastewater plant is a facility used to treat wastewater.;man made > man made > wastewater plant;business professional services > water treatment service;water treatment service
vacant;An unused vacant shop. Can be used for an empty or abandoned retail space that seems to be available for lease or purchase where a retail store (or similar businesses) may be opened. No store is being operated in a vacant shop, and neither goods nor services are being offered. This tag can be used after a store was closed or for a newly built shop before any busisness was operated in the shop.;shop > others > vacant;retail;retail
wayside shrine;A shrine often showing a religious depiction. Tag is used also for modern shrines.;historic > wayside shrine;community government > spiritual center > shrine;shrine
pingo;Pingos are intrapermafrost ice-cored hills;geological > pingo;landmarks outdoors > hill;hill
cowshed;A cowshed (cow barn, cow house) is a building for housing cows, usually found on farms.;building > agriculturalplant production > cowshed;landmarks outdoors > farm;farm
farm;A historical farm, kept in its original state.;historic > farm;landmarks outdoors > historic protected site;historic protected site
wastewater;A clarifier or settling basin of a wastewater treatment plant.;water > wastewater;business professional services > water treatment service;water treatment service
citywalls;A citywall is a fortification used to defend a city.;historic > citywalls;landmarks outdoors > historic protected site;historic protected site
fairground;A site where a fair takes place;landuse > common landuse key values developed land > fairground;event > marketplace > street fair;street fair
greenhouse;A greenhouse is a glass or plastic covered building used to grow plants. Use landuse=greenhouse_horticulture for an area containing multiple greenhouses;building > agriculturalplant production > greenhouse;business professional services > agriculture forestry service;agriculture forestry service
tax advisor;An office for a financial expert specially trained in tax law;office > tax advisor;retail > financial legal service;financial legal service
ventilation shaft;A structure that allows ventilation in underground tunnels;railway > infrastructure > ventilation shaft;landmarks outdoors > tunnel;tunnel
cycleway;For designated cycleways. Add foot=*, though it may be avoided if default-access-restrictions do apply.;highway > cycleway drawn way see bicycle > cycleway;landmarks outdoors > bike trail;bike trail
archipelago;A named group or chain of closely related islands and islets.;place > places > archipelago;landmarks outdoors > island;island
bollard;One or more solid (usually concrete or metal) pillar(s) used to control traffic.;barrier > access control highways > bollard;travel transportation;travel transportation
waste basket;A single small container for depositing garbage that is easily accessible for pedestrians.;amenity > waste management > waste basket;business professional services > waste management service;waste management service
basin;An area of land artificially graded to hold water.;water > basin;landmarks outdoors > reservoir;reservoir
bag repair;A place where bags/luggage are repaired.;craft > bag repair;business professional services > repair service;repair service
snow net;A netting fence built across steep slopes to reduce risk and severity of (snow) avalanches;man made > man made > snow net;business professional services > home improvement service > fence contractor;fence contractor
detour;Route for fixed detour routes. Examples are Bedarfsumleitung in Germany and uitwijkroute in the Netherlands;route > detour;travel transportation > road;road
attraction;An object of interest for a tourist, or a purpose-built tourist attraction;tourism > attraction;arts entertainment;arts entertainment
canal;An artificial open flow waterway used to carry useful water for transportation, waterpower, or irrigation.;waterway > manmade waterways > canal;landmarks outdoors > canal;canal
bookbinder;A workplace for physically assembling a book from a number of sheets of paper.;craft > bookbinder;business professional services > publisher;publisher
cone;A landform with a distinctly conical shape;geological > cone;landmarks outdoors;landmarks outdoors
sea;A large body of salt water part of, or connected to, an ocean.;place > places > sea;landmarks outdoors;landmarks outdoors
bridleway;For horse riders. Pedestrians are usually also permitted, cyclists may be permitted depending on local rules/laws. Motor vehicles are forbidden.;highway > paths > bridleway;sports recreation > equestrian facility;equestrian facility
halt;A small station without switches;railway > stations stops > halt;travel transportation > transport hub > light rail station;light rail station
assembly point;A designated (safe) place where people can gather or must report to during an emergency or a fire drill.;emergency > assembly point > assembly point;health medicine > emergency service;emergency service
fire hose;A high-pressure hose used to carry water or other fire retardant (such as foam) to a fire to extinguish it.;emergency > firefighters > fire hose;health medicine > emergency service;emergency service
anchor;A historic/retired anchor. Usually found in historic maritime areas.;historic > anchor;landmarks outdoors > historic protected site;historic protected site
boatyard;A place for constructing, repairing and storing vessels out of the water.;waterway > facilities > boatyard;business professional services > repair service;repair service
vehicle;A decommissioned vehicle which generally remains in one place;historic > vehicle;landmarks outdoors > historic protected site;historic protected site
water crane;A structure to deliver water to steam locomotives;railway > infrastructure > water crane;travel transportation > train;train
shed;A shed is a simple, single-storey structure in a back garden or on an allotment that is used for storage, hobbies, or as a workshop.;building > storage > shed;business professional services > storage facility;storage facility
bunker;A hardened military building. Also use military=bunker.;building > buildings > bunker;community government > government building > military;military
watchmaker;A watchmaker is an artisan who makes and repairs watches. Today due to industrial production they mostly repair watches.;craft > watchmaker;business professional services > repair service;repair service
water tank;A large water basin or tank for a fire department to take water.;emergency > firefighters > water tank;health medicine > emergency service;emergency service
trunk link;The link roads (sliproads/ramps) leading to/from a trunk road from/to a trunk road or lower class highway.;highway > link roads > trunk link;travel transportation > road;road
archaeological site;A place in which evidence of past activity is preserved.;historic > archaeological site;landmarks outdoors > historic protected site;historic protected site
