Tag;Tag_depth;Depth_1;Depth_2;Depth_3;Depth_4;Depth_5;Depth_6;definition_en
baiano restaurant;6;dining and drinking;restaurant;latin american restaurant;south american restaurant;brazilian restaurant;baiano restaurant;A restaurant serving cuisine from Bahia, Brazil.
soccer;2;sports and recreation;soccer;;;;;A team sport played with a round ball primarily using feet.
forest;2;landmarks and outdoors;forest;;;;;A large area densely covered with trees and vegetation.
radiologist;3;health and medicine;physician;radiologist;;;;A medical specialist using imaging techniques to diagnose and treat diseases.
fast food restaurant;3;dining and drinking;restaurant;fast food restaurant;;;;A restaurant serving quickly prepared meals, often for takeout.
dance studio;3;sports and recreation;gym and studio;dance studio;;;;A facility where dance classes and practice sessions are held.
surf spot;2;landmarks and outdoors;surf spot;;;;;A location suitable for surfing waves.
batting cages;3;sports and recreation;baseball;batting cages;;;;Enclosed areas where baseball or softball players practice hitting balls.
intersection;3;travel and transportation;road;intersection;;;;A location where two or more roads cross.
country;3;landmarks and outdoors;states and municipalities;country;;;;A nation with defined borders and government.
hunting area;2;sports and recreation;hunting area;;;;;A designated area where hunting is permitted.
caterer;3;business and professional services;food and beverage service;caterer;;;;A business providing food services for events or gatherings.
kumru restaurant;4;dining and drinking;restaurant;turkish restaurant;kumru restaurant;;;A restaurant serving Kumru, a Turkish sandwich specialty.
costume store;2;retail;costume store;;;;;A shop selling costumes for events, theater, or parties.
carnival;2;arts and entertainment;carnival;;;;;A public festival with rides, games, and entertainment.
south american restaurant;4;dining and drinking;restaurant;latin american restaurant;south american restaurant;;;A restaurant serving cuisine from South America.
empanada restaurant;4;dining and drinking;restaurant;latin american restaurant;empanada restaurant;;;A restaurant specializing in empanadas, stuffed pastries popular in Latin America.
marketplace;2;event;marketplace;;;;;A place where goods and services are bought and sold.
peruvian restaurant;5;dining and drinking;restaurant;latin american restaurant;south american restaurant;peruvian restaurant;;A restaurant serving Peruvian cuisine.
karaoke box;2;arts and entertainment;karaoke box;;;;;A private room facility for singing karaoke with friends.
audiovisual service;2;business and professional services;audiovisual service;;;;;A business providing video, audio, or multimedia production services.
nightlife spot;1;nightlife spot;;;;;;A venue offering evening or nighttime entertainment.
truck stop;2;travel and transportation;truck stop;;;;;A rest area with services for truck drivers.
beijing restaurant;5;dining and drinking;restaurant;asian restaurant;chinese restaurant;beijing restaurant;;A restaurant serving cuisine from Beijing, China.
veterinarian;2;health and medicine;veterinarian;;;;;A medical professional specializing in animal health care.
religious school;3;community and government;education;religious school;;;;An educational institution providing religious instruction.
photographer;3;business and professional services;photography service;photographer;;;;A professional capturing images with a camera for artistic or commercial purposes.
record store;2;retail;record store;;;;;A retail shop selling music records and related items.
eastern european restaurant;3;dining and drinking;restaurant;eastern european restaurant;;;;A restaurant serving cuisine from Eastern Europe.
sushi restaurant;5;dining and drinking;restaurant;asian restaurant;japanese restaurant;sushi restaurant;;A restaurant serving Japanese sushi dishes.
çöp şiş place;4;dining and drinking;restaurant;turkish restaurant;çöp şiş place;;;A restaurant serving çöp şiş, a type of Turkish grilled meat skewer.
yoshoku restaurant;5;dining and drinking;restaurant;asian restaurant;japanese restaurant;yoshoku restaurant;;A restaurant serving yoshoku, Western-influenced Japanese cuisine.
indonesian restaurant;4;dining and drinking;restaurant;asian restaurant;indonesian restaurant;;;A restaurant serving Indonesian cuisine.
church;3;community and government;spiritual center;church;;;;A building used for Christian worship services.
food court;2;dining and drinking;food court;;;;;An area with multiple food vendors offering different cuisines.
college residence hall;4;community and government;education;college and university;college residence hall;;;A dormitory or living facility for college students.
construction supplies store;2;retail;construction supplies store;;;;;A shop selling materials and tools for building and construction.
paintball field;2;sports and recreation;paintball field;;;;;An outdoor or indoor area designated for paintball games.
car wash and detail;3;business and professional services;automotive service;car wash and detail;;;;A business providing vehicle cleaning and detailing services.
bougatsa shop;4;dining and drinking;restaurant;greek restaurant;bougatsa shop;;;A shop serving bougatsa, a Greek pastry with sweet or savory filling.
imperial restaurant;5;dining and drinking;restaurant;asian restaurant;chinese restaurant;imperial restaurant;;A restaurant with a luxurious theme or serving high-end cuisine.
churrascaria;6;dining and drinking;restaurant;latin american restaurant;south american restaurant;brazilian restaurant;churrascaria;A Brazilian steakhouse specializing in grilled meats.
zoo exhibit;3;arts and entertainment;zoo;zoo exhibit;;;;A display or habitat of animals in a zoo.
art gallery;2;arts and entertainment;art gallery;;;;;A place where art is exhibited and sometimes sold.
city hall;3;community and government;government building;city hall;;;;The administrative building of a city government.
badminton court;3;sports and recreation;racquet sports;badminton court;;;;A designated indoor or outdoor area for playing badminton.
sikh temple;3;community and government;spiritual center;sikh temple;;;;A place of worship for followers of Sikhism.
bus station;3;travel and transportation;transport hub;bus station;;;;A facility where buses pick up and drop off passengers.
social club;2;community and government;social club;;;;;An organization where people meet for social activities.
gun store;3;retail;sporting goods retail;gun store;;;;A retail shop selling firearms and related accessories.
shipping, freight, and material transportation service;2;business and professional services;shipping, freight, and material transportation service;;;;;A business providing transport of goods and cargo.
music store;2;retail;music store;;;;;A retail shop selling musical instruments and related equipment.
government department;3;community and government;government building;government department;;;;A division of government responsible for specific public services.
assisted living service;2;health and medicine;assisted living service;;;;;A residential service providing support to elderly or disabled individuals.
sports and recreation;1;sports and recreation;;;;;;Facilities or services supporting athletic and recreational activities.
camera store;3;retail;computers and electronics retail;camera store;;;;A retail shop selling cameras, lenses, and photography equipment.
new car dealership;4;retail;automotive retail;car dealership;new car dealership;;;A business selling brand-new vehicles.
beach bar;3;dining and drinking;bar;beach bar;;;;A bar located on or near a beach, often serving drinks and snacks.
hospital unit;3;health and medicine;hospital;hospital unit;;;;A specialized department within a hospital.
polling place;2;community and government;polling place;;;;;A location where citizens go to vote in elections.
puglia restaurant;4;dining and drinking;restaurant;italian restaurant;puglia restaurant;;;A restaurant serving cuisine from the Puglia region of Italy.
egyptian restaurant;4;dining and drinking;restaurant;middle eastern restaurant;egyptian restaurant;;;A restaurant serving Egyptian cuisine.
gilaki restaurant;5;dining and drinking;restaurant;middle eastern restaurant;persian restaurant;gilaki restaurant;;A restaurant serving cuisine from Gilan, Iran.
confucian temple;3;community and government;spiritual center;confucian temple;;;;A place of worship and learning dedicated to Confucianism.
pakistani restaurant;3;dining and drinking;restaurant;pakistani restaurant;;;;A restaurant serving Pakistani cuisine.
hockey club;3;sports and recreation;hockey;hockey club;;;;An organization supporting hockey teams and players.
indonesian meatball restaurant;5;dining and drinking;restaurant;asian restaurant;indonesian restaurant;indonesian meatball restaurant;;A restaurant serving Indonesian meatball dishes.
candy store;3;retail;food and beverage retail;candy store;;;;A retail shop selling sweets and confectioneries.
satay restaurant;4;dining and drinking;restaurant;asian restaurant;satay restaurant;;;A restaurant serving satay, skewered and grilled meat.
football stadium;3;arts and entertainment;stadium;football stadium;;;;A large outdoor arena used for football matches.
ski store;3;retail;sporting goods retail;ski store;;;;A shop selling ski equipment and clothing.
transmissions shop;3;business and professional services;automotive service;transmissions shop;;;;A garage specializing in vehicle transmission repairs.
dermatologist;3;health and medicine;physician;dermatologist;;;;A medical specialist focusing on skin, hair, and nails.
farm;2;landmarks and outdoors;farm;;;;;A tract of land used for agriculture or livestock.
baseball;2;sports and recreation;baseball;;;;;A team sport played with a bat and ball.
geriatric doctor;3;health and medicine;physician;geriatric doctor;;;;A physician specializing in healthcare for elderly patients.
speakeasy;3;dining and drinking;bar;speakeasy;;;;A hidden or illicit bar, historically associated with Prohibition.
college lab;4;community and government;education;college and university;college lab;;;A laboratory facility on a college campus for scientific work.
men's store;3;retail;fashion retail;men's store;;;;A retail shop selling men's clothing and accessories.
podiatrist;2;health and medicine;podiatrist;;;;;A healthcare professional specializing in foot and ankle care.
hostel;3;travel and transportation;lodging;hostel;;;;A budget accommodation offering shared rooms and facilities.
convenience store;2;retail;convenience store;;;;;A small retail shop selling everyday items.
street fair;3;event;marketplace;street fair;;;;A public outdoor event featuring vendors, entertainment, and food.
bowling alley;2;arts and entertainment;bowling alley;;;;;A facility for playing the sport of bowling.
assisted living;2;community and government;assisted living;;;;;Residential care providing support for daily activities.
paella restaurant;4;dining and drinking;restaurant;spanish restaurant;paella restaurant;;;A restaurant specializing in paella, a Spanish rice dish.
college engineering building;4;community and government;education;college and university;college engineering building;;;A building on campus housing engineering classes and labs.
video store;2;retail;video store;;;;;A retail shop renting or selling movies and video games.
amphitheater;3;arts and entertainment;performing arts venue;amphitheater;;;;An open-air venue for performances and events.
town hall;2;community and government;town hall;;;;;The administrative building for a town's government.
county;3;landmarks and outdoors;states and municipalities;county;;;;A regional administrative division within a state or country.
comfort food restaurant;3;dining and drinking;restaurant;comfort food restaurant;;;;A restaurant serving familiar, hearty, and home-style dishes.
mental health clinic;3;health and medicine;mental health service;mental health clinic;;;;A facility providing psychological or psychiatric care.
cannabis store;2;retail;cannabis store;;;;;A retail shop selling legal cannabis products.
hindu temple;3;community and government;spiritual center;hindu temple;;;;A place of worship for followers of Hinduism.
pelmeni house;4;dining and drinking;restaurant;russian restaurant;pelmeni house;;;A restaurant specializing in pelmeni, Russian dumplings.
human resources agency;2;business and professional services;human resources agency;;;;;An organization providing employment and staffing services.
college stadium;4;community and government;education;college and university;college stadium;;;A stadium located on a college campus for sports and events.
tailor;2;business and professional services;tailor;;;;;A professional who makes, repairs, or alters clothing.
funeral home;2;business and professional services;funeral home;;;;;A business providing funeral services and arrangements.
corporate amenity;3;business and professional services;office;corporate amenity;;;;A facility or service provided for employees in a corporate environment.
lingerie store;3;retail;fashion retail;lingerie store;;;;A retail shop selling women's undergarments and sleepwear.
shandong restaurant;5;dining and drinking;restaurant;asian restaurant;chinese restaurant;shandong restaurant;;A restaurant serving cuisine from Shandong, China.
spa;3;business and professional services;health and beauty service;spa;;;;A facility offering wellness treatments such as massages and beauty services.
general entertainment;2;arts and entertainment;general entertainment;;;;;Venues or activities offering recreational or leisure experiences.
massage clinic;3;business and professional services;health and beauty service;massage clinic;;;;A facility providing therapeutic massage services.
event space;2;business and professional services;event space;;;;;A venue used to host social, cultural, or business events.
auto workshop;2;retail;auto workshop;;;;;A garage providing vehicle maintenance and repairs.
mountain;2;landmarks and outdoors;mountain;;;;;A large natural elevation of the earth's surface.
padangnese restaurant;5;dining and drinking;restaurant;asian restaurant;indonesian restaurant;padangnese restaurant;;A restaurant serving cuisine from Padang, Indonesia.
office building;3;business and professional services;office;office building;;;;A building primarily used for business offices.
credit union;4;business and professional services;financial service;banking and finance;credit union;;;A member-owned financial cooperative providing banking services.
colombian restaurant;5;dining and drinking;restaurant;latin american restaurant;south american restaurant;colombian restaurant;;A restaurant serving Colombian cuisine.
circus school;3;community and government;education;circus school;;;;An institution teaching circus arts and performance skills.
board store;2;retail;board store;;;;;A retail shop selling skateboards, surfboards, or snowboards.
mountain hut;2;landmarks and outdoors;mountain hut;;;;;A small shelter in the mountains for travelers or hikers.
home (private);3;community and government;residential building;home (private);;;;A private residence or dwelling.
juice bar;2;dining and drinking;juice bar;;;;;A café or store serving fresh fruit and vegetable juices.
kale pache place;5;dining and drinking;restaurant;middle eastern restaurant;persian restaurant;kale pache place;;A restaurant specializing in Kale Pache, a traditional Middle Eastern soup.
travel agency;2;travel and transportation;travel agency;;;;;A business arranging travel, tours, and accommodations.
jiangxi restaurant;5;dining and drinking;restaurant;asian restaurant;chinese restaurant;jiangxi restaurant;;A restaurant serving cuisine from Jiangxi, China.
anhui restaurant;5;dining and drinking;restaurant;asian restaurant;chinese restaurant;anhui restaurant;;A restaurant serving cuisine from Anhui, China.
renewable energy service;2;business and professional services;renewable energy service;;;;;A business providing services related to solar, wind, or other renewable energy sources.
hotel;3;travel and transportation;lodging;hotel;;;;A commercial establishment providing lodging, meals, and other services.
kokoreç restaurant;4;dining and drinking;restaurant;turkish restaurant;kokoreç restaurant;;;A restaurant serving kokoreç, a Turkish dish made from lamb intestines.
restaurant;2;dining and drinking;restaurant;;;;;A place where meals are prepared and served to customers.
wine bar;3;dining and drinking;bar;wine bar;;;;A bar specializing in serving wine.
swabian restaurant;4;dining and drinking;restaurant;german restaurant;swabian restaurant;;;A restaurant serving cuisine from the Swabia region of Germany.
carpet and flooring contractor;3;business and professional services;home improvement service;carpet and flooring contractor;;;;A business installing carpets, rugs, and flooring materials.
community and government;1;community and government;;;;;;Services provided by local government or community organizations.
taxi stand;3;travel and transportation;transport hub;taxi stand;;;;A designated area where taxis wait for passengers.
bed and breakfast;3;travel and transportation;lodging;bed and breakfast;;;;A small lodging offering overnight stays and breakfast.
punjabi restaurant;4;dining and drinking;restaurant;indian restaurant;punjabi restaurant;;;A restaurant serving cuisine from the Punjab region.
provençal restaurant;4;dining and drinking;restaurant;french restaurant;provençal restaurant;;;A restaurant serving cuisine from Provence, France.
indie movie theater;3;arts and entertainment;movie theater;indie movie theater;;;;A cinema showing independent or non-mainstream films.
health and medicine;1;health and medicine;;;;;;Facilities or services related to medical care and health.
bakery;2;dining and drinking;bakery;;;;;A shop producing and selling bread, pastries, and cakes.
norman restaurant;4;dining and drinking;restaurant;french restaurant;norman restaurant;;;A restaurant serving cuisine from Normandy, France.
emergency room;3;health and medicine;emergency service;emergency room;;;;A hospital department providing urgent medical care.
multicuisine indian restaurant;4;dining and drinking;restaurant;indian restaurant;multicuisine indian restaurant;;;An Indian restaurant offering dishes from multiple regional cuisines.
urban park;3;landmarks and outdoors;park;urban park;;;;A public park located within a city.
international airport;4;travel and transportation;transport hub;airport;international airport;;;An airport handling international flights and passengers.
shanxi restaurant;5;dining and drinking;restaurant;asian restaurant;chinese restaurant;shanxi restaurant;;A restaurant serving cuisine from the Shanxi region of China.
adult store;2;retail;adult store;;;;;A retail shop selling adult products and entertainment.
swimming pool maintenance and service;3;business and professional services;home improvement service;swimming pool maintenance and service;;;;Services for cleaning, repairing, and maintaining swimming pools.
ski resort and area;3;sports and recreation;snow sports;ski resort and area;;;;A resort and surrounding area offering skiing and snowboarding.
running and track;2;sports and recreation;running and track;;;;;Facilities for running and track sports.
football club;3;sports and recreation;football;football club;;;;An organization supporting football teams and players.
obstetrician gynecologist (ob-gyn);3;health and medicine;physician;obstetrician gynecologist (ob-gyn);;;;A doctor specializing in pregnancy, childbirth, and female reproductive health.
turkish restaurant;3;dining and drinking;restaurant;turkish restaurant;;;;A restaurant serving Turkish cuisine.
optometrist;2;health and medicine;optometrist;;;;;A healthcare professional providing eye exams and vision care.
farmers market;3;retail;food and beverage retail;farmers market;;;;A market where local farmers sell fresh produce and goods.
swimwear store;3;retail;fashion retail;swimwear store;;;;A retail shop selling swimsuits and beachwear.
physician;2;health and medicine;physician;;;;;A medical doctor providing general or specialized care.
rail station;3;travel and transportation;transport hub;rail station;;;;A facility where trains stop to pick up and drop off passengers.
public relations firm;2;business and professional services;public relations firm;;;;;A company managing communication and public image for clients.
respiratory doctor;3;health and medicine;physician;respiratory doctor;;;;A physician specializing in lung and respiratory health.
soup spot;3;dining and drinking;restaurant;soup spot;;;;A restaurant or café specializing in soup dishes.
ice cream parlor;3;dining and drinking;dessert shop;ice cream parlor;;;;A shop serving ice cream and frozen desserts.
fishing store;3;retail;sporting goods retail;fishing store;;;;A retail shop selling fishing gear and equipment.
dessert shop;2;dining and drinking;dessert shop;;;;;A shop specializing in sweets and desserts.
baggage locker;2;travel and transportation;baggage locker;;;;;A secure storage facility for travelers’ luggage.
software company;3;business and professional services;technology business;software company;;;;A business developing or selling software products.
ligurian restaurant;4;dining and drinking;restaurant;italian restaurant;ligurian restaurant;;;A restaurant serving cuisine from the Liguria region of Italy.
financial planner;3;business and professional services;financial service;financial planner;;;;A professional providing financial advice and planning services.
cocktail bar;3;dining and drinking;bar;cocktail bar;;;;A bar specializing in mixed alcoholic drinks.
picnic area;3;landmarks and outdoors;park;picnic area;;;;An outdoor area equipped for picnics.
charity;3;community and government;organization;charity;;;;An organization focused on providing help and support to those in need.
food distribution center;3;business and professional services;food and beverage service;food distribution center;;;;A facility where food is stored and distributed to retailers or the public.
college basketball court;4;community and government;education;college and university;college basketball court;;;A basketball court located on a college campus.
college football field;4;community and government;education;college and university;college football field;;;A football field located on a college campus.
donburi restaurant;5;dining and drinking;restaurant;asian restaurant;japanese restaurant;donburi restaurant;;A restaurant specializing in donburi, a Japanese rice bowl dish.
village;3;landmarks and outdoors;states and municipalities;village;;;;A small settlement or community in a rural area.
waterfront;2;landmarks and outdoors;waterfront;;;;;An area located along a body of water, often developed for recreation or business.
mamak restaurant;5;dining and drinking;restaurant;asian restaurant;malay restaurant;mamak restaurant;;A restaurant serving Malaysian-style Indian Muslim cuisine.
japanese curry restaurant;5;dining and drinking;restaurant;asian restaurant;japanese restaurant;japanese curry restaurant;;A restaurant specializing in Japanese-style curry dishes.
college rec center;4;community and government;education;college and university;college rec center;;;A recreational facility on a college campus offering fitness and sports amenities.
batik store;3;retail;fashion retail;batik store;;;;A retail shop selling batik textiles and clothing.
metals supplier;2;business and professional services;metals supplier;;;;;A business providing metals and metal products for industry or construction.
creperie;2;dining and drinking;creperie;;;;;A restaurant or café specializing in crepes.
zhejiang restaurant;5;dining and drinking;restaurant;asian restaurant;chinese restaurant;zhejiang restaurant;;A restaurant serving cuisine from Zhejiang, China.
college academic building;4;community and government;education;college and university;college academic building;;;A building on a college campus used for teaching and classrooms.
college communications building;4;community and government;education;college and university;college communications building;;;A campus building housing communications-related departments and facilities.
belarusian restaurant;4;dining and drinking;restaurant;eastern european restaurant;belarusian restaurant;;;A restaurant serving cuisine from Belarus.
ouzeri;4;dining and drinking;restaurant;greek restaurant;ouzeri;;;A Greek restaurant or bar specializing in ouzo and small plates.
currency exchange;3;business and professional services;financial service;currency exchange;;;;A service providing conversion of one currency to another.
gun range;2;sports and recreation;gun range;;;;;A facility for target shooting with firearms.
kitchen supply store;3;retail;furniture and home store;kitchen supply store;;;;A retail shop selling kitchen equipment and utensils.
outlet mall;2;retail;outlet mall;;;;;A shopping center featuring discounted brand-name stores.
stable;2;landmarks and outdoors;stable;;;;;A building for housing horses.
breakfast spot;2;dining and drinking;breakfast spot;;;;;A restaurant or café specializing in breakfast foods.
watch store;3;retail;fashion retail;watch store;;;;A retail shop selling watches.
airport terminal;4;travel and transportation;transport hub;airport;airport terminal;;;A building at an airport where passengers check in, board, and arrive.
music festival;3;event;entertainment event;music festival;;;;An organized event featuring live music performances over several days.
home inspection;3;business and professional services;home improvement service;home inspection;;;;A professional service assessing the condition of a home before purchase or sale.
monument;2;landmarks and outdoors;monument;;;;;A structure erected to commemorate a person, event, or concept.
entertainment agency;2;business and professional services;entertainment agency;;;;;A company representing artists or organizing entertainment events.
carpenter;3;business and professional services;home improvement service;carpenter;;;;A skilled tradesperson working with wood to build or repair structures.
silesian restaurant;4;dining and drinking;restaurant;german restaurant;silesian restaurant;;;A restaurant serving cuisine from the Silesia region of Poland.
leather goods store;2;retail;leather goods store;;;;;A shop selling leather products like bags, shoes, and belts.
classic and antique car dealership;4;retail;automotive retail;car dealership;classic and antique car dealership;;;A business selling vintage and collectible automobiles.
stationery store;2;retail;stationery store;;;;;A retail shop selling paper, writing instruments, and office supplies.
recreation center;2;sports and recreation;recreation center;;;;;A facility providing leisure, fitness, and recreational activities.
technology business;2;business and professional services;technology business;;;;;A company specializing in technology products or services.
grocery store;3;retail;food and beverage retail;grocery store;;;;A retail shop selling food and household goods.
dog park;3;landmarks and outdoors;park;dog park;;;;A designated area where dogs can exercise and socialize off-leash.
mobile phone store;3;retail;computers and electronics retail;mobile phone store;;;;A retail shop selling mobile phones and related accessories.
burger joint;3;dining and drinking;restaurant;burger joint;;;;A restaurant specializing in hamburgers and fast food.
pet service;2;business and professional services;pet service;;;;;A business providing care, grooming, or boarding for pets.
swimming pool;4;sports and recreation;water sports;swimming;swimming pool;;;A man-made structure filled with water for swimming.
addiction treatment center;2;community and government;addiction treatment center;;;;;A facility providing therapy and support for substance abuse recovery.
basque restaurant;4;dining and drinking;restaurant;french restaurant;basque restaurant;;;A restaurant serving cuisine from the Basque region of Spain and France.
primary and secondary school;3;community and government;education;primary and secondary school;;;;Educational institutions for children, from elementary to high school.
furniture and home store;2;retail;furniture and home store;;;;;A retail shop selling home furnishings and décor.
burgundian restaurant;4;dining and drinking;restaurant;french restaurant;burgundian restaurant;;;A restaurant serving cuisine from Burgundy, France.
estaminet;4;dining and drinking;restaurant;french restaurant;estaminet;;;A small café or bistro, typically in Belgium or northern France.
sandwich spot;3;dining and drinking;restaurant;sandwich spot;;;;A restaurant or café specializing in sandwiches.
skin care clinic;3;business and professional services;health and beauty service;skin care clinic;;;;A facility providing treatments for skin health and beauty.
cajun and creole restaurant;3;dining and drinking;restaurant;cajun and creole restaurant;;;;A restaurant serving cuisine from Louisiana, USA.
acupuncture clinic;2;health and medicine;acupuncture clinic;;;;;A healthcare facility providing acupuncture treatments.
german restaurant;3;dining and drinking;restaurant;german restaurant;;;;A restaurant serving German cuisine.
southern brazilian restaurant;6;dining and drinking;restaurant;latin american restaurant;south american restaurant;brazilian restaurant;southern brazilian restaurant;A restaurant serving cuisine from southern Brazil.
dairy store;3;retail;food and beverage retail;dairy store;;;;A shop selling milk, cheese, and other dairy products.
disc golf;2;arts and entertainment;disc golf;;;;;An outdoor recreational activity where players throw discs into targets.
samba school;2;arts and entertainment;samba school;;;;;An institution teaching samba dance and music, often preparing for carnivals.
information technology service;3;business and professional services;technology business;information technology service;;;;A business providing information technology support and solutions.
tutoring service;2;business and professional services;tutoring service;;;;;A service providing academic instruction and support to students.
retail;1;retail;;;;;;Businesses selling goods directly to consumers.
blini house;4;dining and drinking;restaurant;russian restaurant;blini house;;;A restaurant specializing in blini, thin Russian pancakes.
car dealership;3;retail;automotive retail;car dealership;;;;A business selling new or used vehicles.
driving school;3;community and government;education;driving school;;;;A facility providing driver education and training.
steakhouse;3;dining and drinking;restaurant;steakhouse;;;;A restaurant specializing in steaks and grilled meats.
hot air balloon tour agency;2;travel and transportation;hot air balloon tour agency;;;;;A company organizing hot air balloon rides for sightseeing.
manchu restaurant;5;dining and drinking;restaurant;asian restaurant;chinese restaurant;manchu restaurant;;A restaurant serving cuisine from the Manchu region of China.
metro station;3;travel and transportation;transport hub;metro station;;;;An underground or elevated station serving subway trains.
tuscan restaurant;4;dining and drinking;restaurant;italian restaurant;tuscan restaurant;;;A restaurant serving cuisine from Tuscany, Italy.
capitol building;3;community and government;government building;capitol building;;;;A building where a state or national legislative assembly meets.
gastropub;3;dining and drinking;restaurant;gastropub;;;;A pub offering high-quality food alongside drinks.
marine terminal;3;travel and transportation;transport hub;marine terminal;;;;A dock or port area for loading and unloading ships.
asian restaurant;3;dining and drinking;restaurant;asian restaurant;;;;A restaurant serving cuisine from one or more Asian countries.
scottish restaurant;3;dining and drinking;restaurant;scottish restaurant;;;;A restaurant serving cuisine from Scotland.
states and municipalities;2;landmarks and outdoors;states and municipalities;;;;;Administrative divisions providing local government services.
monjayaki restaurant;5;dining and drinking;restaurant;asian restaurant;japanese restaurant;monjayaki restaurant;;A restaurant serving monjayaki, a Japanese pan-fried batter dish.
iraqi restaurant;4;dining and drinking;restaurant;middle eastern restaurant;iraqi restaurant;;;A restaurant serving cuisine from Iraq.
honduran restaurant;4;dining and drinking;restaurant;latin american restaurant;honduran restaurant;;;A restaurant serving cuisine from Honduras.
ethiopian restaurant;4;dining and drinking;restaurant;african restaurant;ethiopian restaurant;;;A restaurant serving cuisine from Ethiopia.
alternative medicine clinic;2;health and medicine;alternative medicine clinic;;;;;A clinic offering non-traditional medical treatments and therapies.
noodle restaurant;4;dining and drinking;restaurant;asian restaurant;noodle restaurant;;;A restaurant specializing in noodle dishes.
spiritual center;2;community and government;spiritual center;;;;;A place for spiritual practices, meditation, or worship.
automotive retail;2;retail;automotive retail;;;;;A store selling cars, car parts, or automotive accessories.
surf store;3;retail;sporting goods retail;surf store;;;;A retail shop selling surfing equipment and apparel.
ear, nose and throat doctor;3;health and medicine;physician;ear, nose and throat doctor;;;;A medical doctor specializing in ENT (ear, nose, and throat) care.
industrial estate;2;business and professional services;industrial estate;;;;;An area zoned and developed for industrial businesses.
ski trail;4;sports and recreation;snow sports;ski resort and area;ski trail;;;A designated path or track for skiing.
dump;2;community and government;dump;;;;;A site for disposing of waste and garbage.
cantonese restaurant;5;dining and drinking;restaurant;asian restaurant;chinese restaurant;cantonese restaurant;;A restaurant serving Cantonese cuisine from southern China.
auvergne restaurant;4;dining and drinking;restaurant;french restaurant;auvergne restaurant;;;A restaurant serving cuisine from the Auvergne region of France.
basketball club;3;sports and recreation;basketball;basketball club;;;;An organization supporting basketball teams and players.
college theater;4;community and government;education;college and university;college theater;;;A theater located on a college campus for performances and events.
doner restaurant;4;dining and drinking;restaurant;turkish restaurant;doner restaurant;;;A restaurant specializing in doner kebab, a type of Turkish sandwich.
college history building;4;community and government;education;college and university;college history building;;;A campus building housing history departments and classrooms.
vintage and thrift store;2;retail;vintage and thrift store;;;;;A shop selling second-hand and vintage clothing and goods.
slovak restaurant;3;dining and drinking;restaurant;slovak restaurant;;;;A restaurant serving cuisine from Slovakia.
outdoor supply store;2;retail;outdoor supply store;;;;;A retail shop selling gear for outdoor activities like hiking and camping.
meadery;2;dining and drinking;meadery;;;;;A place producing and selling mead, an alcoholic beverage made from honey.
canal;2;landmarks and outdoors;canal;;;;;A man-made waterway for transportation or irrigation.
smoothie shop;2;dining and drinking;smoothie shop;;;;;A store or café specializing in smoothies and blended drinks.
duty-free store;2;retail;duty-free store;;;;;A shop selling goods exempt from certain local or national taxes, often at airports.
painter;3;business and professional services;home improvement service;painter;;;;A professional who paints buildings, walls, or artistic works.
hunan restaurant;5;dining and drinking;restaurant;asian restaurant;chinese restaurant;hunan restaurant;;A restaurant serving cuisine from Hunan, China.
canal lock;2;landmarks and outdoors;canal lock;;;;;A device for raising and lowering boats between stretches of water in a canal.
chinese breakfast restaurant;5;dining and drinking;restaurant;asian restaurant;chinese restaurant;chinese breakfast restaurant;;A restaurant serving traditional Chinese breakfast dishes.
laser tag center;2;arts and entertainment;laser tag center;;;;;A facility for playing laser tag, a recreational shooting game.
dentist;2;health and medicine;dentist;;;;;A healthcare professional specializing in oral health and teeth care.
himalayan restaurant;4;dining and drinking;restaurant;asian restaurant;himalayan restaurant;;;A restaurant serving cuisine from the Himalayan region.
pub;3;dining and drinking;bar;pub;;;;A public house serving alcoholic drinks and sometimes food.
outdoor sculpture;3;arts and entertainment;public art;outdoor sculpture;;;;A piece of artwork displayed outdoors.
sporting event;3;event;entertainment event;sporting event;;;;An organized competition or game in sports.
food and beverage retail;2;retail;food and beverage retail;;;;;Stores selling packaged or prepared food and drinks.
other great outdoors;2;landmarks and outdoors;other great outdoors;;;;;Areas for outdoor recreation and nature activities not otherwise specified.
fish market;3;retail;food and beverage retail;fish market;;;;A market selling fresh seafood.
middle school;4;community and government;education;primary and secondary school;middle school;;;An educational institution for children typically between elementary and high school.
portuguese restaurant;3;dining and drinking;restaurant;portuguese restaurant;;;;A restaurant serving cuisine from Portugal.
design studio;2;business and professional services;design studio;;;;;A business providing design services, such as graphic, interior, or product design.
import and export service;2;business and professional services;import and export service;;;;;A company facilitating the shipping of goods internationally.
baseball stadium;3;arts and entertainment;stadium;baseball stadium;;;;A stadium specifically designed for baseball games.
baseball club;3;sports and recreation;baseball;baseball club;;;;An organization supporting baseball teams and players.
kosher store;3;retail;food and beverage retail;kosher store;;;;A store selling food products prepared according to Jewish dietary laws.
sailing club;3;sports and recreation;water sports;sailing club;;;;An organization supporting sailing enthusiasts and activities.
indian sweet shop;4;dining and drinking;restaurant;indian restaurant;indian sweet shop;;;A shop selling Indian desserts and sweets.
packaging supply store;2;retail;packaging supply store;;;;;A store selling materials for packing and shipping goods.
office supply store;2;retail;office supply store;;;;;A retail shop selling office supplies and stationery.
supplement store;2;retail;supplement store;;;;;A shop selling vitamins, supplements, and nutritional products.
