word,definition_en
rafting outfitter,A company providing equipment and services for river rafting.
cricket ground,A field designated for playing cricket.
boat rental,A service renting boats for recreational use.
domestic abuse treatment center,A facility offering support and treatment for domestic abuse victims.
motor scooter dealership,A business selling and servicing motor scooters.
west-ukrainian restaurant,A restaurant serving cuisine from Western Ukraine.
corporate coffee shop,A café located within or affiliated with a corporation.
circus,"A traveling entertainment show featuring acrobats, clowns, and animals."
financial or legal service,A business providing financial advice or legal assistance.
pilates studio,A facility offering Pilates exercise classes.
leather supplier,A business providing leather materials for manufacturing.
telecommunication service,"A company offering phone, internet, or data services."
chettinad restaurant,"A restaurant serving Chettinad cuisine from Tamil Nadu, India."
scientific equipment supplier,A business providing laboratory and scientific instruments.
newsagent,"A retail shop selling newspapers, magazines, and related items."
bratwurst joint,A casual eatery specializing in bratwurst sausages.
college science building,A campus building dedicated to science departments and labs.
persian restaurant,A restaurant serving Persian (Iranian) cuisine.
tea room,A café or establishment serving tea and light refreshments.
museum,"A facility preserving and displaying artifacts, art, or historical items."
cheese store,A shop specializing in cheese products.
israeli restaurant,A restaurant serving cuisine from Israel.
structure,A constructed building or framework.
prayer room,A room designated for prayer or meditation.
deck and patio contractor,"A professional building decks, patios, and outdoor structures."
nature preserve,A protected area maintained for conservation and wildlife.
rv and motorhome dealership,A business selling recreational vehicles and motorhomes.
community center,A public facility for community activities and events.
inn,A small lodging establishment offering accommodation and sometimes meals.
hockey,A team sport played on ice or field with sticks and a ball or puck.
bay,A body of water partially enclosed by land.
acai house,A café or shop specializing in acai bowls and related products.
italian restaurant,A restaurant serving cuisine from Italy.
private school,An educational institution privately funded rather than government-run.
rest area,"A designated area along a highway where travelers can stop to rest, use facilities, or eat."
pawn shop,A store where people can pawn or sell personal items for cash loans.
newsstand,"A small stall or shop selling newspapers, magazines, and periodicals."
diner,A casual restaurant often serving comfort food and open late hours.
running store,"A retail store specializing in running shoes, apparel, and accessories."
comic book store,"A shop selling comic books, graphic novels, and related merchandise."
retirement home,A residential facility providing care and housing for elderly people.
casino,"A facility offering gambling games, such as slots, poker, and roulette."
austrian restaurant,A restaurant serving Austrian cuisine.
tianjin restaurant,"A restaurant serving cuisine from Tianjin, China."
vehicle inspection station,A facility where vehicles are inspected for safety and emissions compliance.
courthouse,A building where legal cases are heard and judicial matters are conducted.
bengali restaurant,"A restaurant serving cuisine from Bengal, India or Bangladesh."
law school,An educational institution specializing in legal studies.
public transportation,"Systems like buses, trains, and subways that carry passengers."
schnitzel restaurant,"A restaurant specializing in schnitzel, a breaded and fried meat dish."
entertainment service,A company providing entertainment for events or public venues.
henan restaurant,"A restaurant serving cuisine from Henan, China."
research laboratory,A facility for scientific research and experiments.
storage facility,A building where individuals or businesses can store goods and belongings.
check cashing service,A business that cashes checks for a fee.
south tyrolean restaurant,"A restaurant serving cuisine from South Tyrol, Italy."
manti place,"A restaurant serving manti, a type of dumpling popular in Turkey and Central Asia."
"heating, ventilating and air conditioning contractor",A professional company providing HVAC installation and repair.
pediatrician,A medical doctor specializing in the care of children.
kuruyemişçi shop,"A store selling nuts, dried fruits, and snacks, common in Turkey."
bicycle store,A shop selling bicycles and related accessories.
skate park,"A recreational area designed for skateboarding, rollerblading, and BMX biking."
resort,"A commercial facility providing lodging, entertainment, and recreation for vacationers."
pide place,"A restaurant serving pide, a Turkish flatbread dish with various toppings."
construction,"The process or industry of building structures, roads, and infrastructure."
som tum restaurant,"A restaurant serving som tum, a spicy green papaya salad from Thailand."
basketball,A team sport played with a ball and hoop on a court.
bavarian restaurant,"A restaurant serving cuisine from Bavaria, Germany."
sicilian restaurant,"A restaurant serving cuisine from Sicily, Italy."
opera house,A theater building for performing operas and other musical productions.
emilia restaurant,"A restaurant serving cuisine from Emilia, Italy."
basketball court,A designated area for playing basketball.
college math building,A campus building housing mathematics departments and classrooms.
automotive shop,"A business providing car repair, maintenance, or modification services."
home appliance store,A retail store selling household electrical appliances.
liquor store,A shop selling alcoholic beverages.
skydiving center,A facility offering skydiving experiences and training.
observatory,A facility equipped for observing celestial events and astronomy.
sukiyaki restaurant,"A restaurant serving sukiyaki, a Japanese hot pot dish."
salsa club,A social venue where people dance salsa and Latin music.
roman restaurant,"A restaurant serving cuisine inspired by Rome, Italy."
transportation service,A company providing transport of people or goods.
daycare,A facility providing supervision and care for young children during the day.
shanghai restaurant,"A restaurant serving cuisine from Shanghai, China."
mexican restaurant,A restaurant serving cuisine from Mexico.
pop-up store,A temporary retail shop that opens for a short duration.
rehabilitation center,A facility providing therapy and recovery services for physical or mental conditions.
halal restaurant,A restaurant serving food prepared according to Islamic dietary laws.
meyhane,A Turkish or Mediterranean tavern serving meze and alcoholic drinks.
rock climbing spot,A natural or artificial location for rock climbing activities.
career counselor,A professional advising on career planning and development.
equestrian facility,"A place for horse riding, training, and care."
buddhist temple,A place of worship and practice for Buddhists.
pharmacy,A store or facility dispensing prescription and over-the-counter medications.
pie shop,A bakery or café specializing in pies.
romanian restaurant,A restaurant serving cuisine from Romania.
falafel restaurant,"A restaurant serving falafel, deep-fried chickpea balls, often in Middle Eastern style."
swimming club,An organization or facility for swimming activities and competitions.
government lobbyist,An individual or organization influencing government policy or decisions.
cardiologist,A medical doctor specializing in heart health and cardiovascular conditions.
plastics supplier,A company providing plastic materials for manufacturing or production.
salvage yard,"A facility selling used, damaged, or scrap materials and vehicles."
publisher,"A company producing and distributing books, magazines, or other media."
racquet sports,"Sports played with racquets, such as tennis, badminton, or squash."
castle,A fortified building or historic residence.
electronics store,A retail store selling electronic devices and gadgets.
used car dealership,A business selling pre-owned vehicles.
professional cleaning service,A company providing commercial or residential cleaning services.
street food gathering,A public event featuring multiple street food vendors.
tobacco store,"A retail shop selling cigarettes, cigars, and related products."
cemevi,A place of worship and community for Alevi Muslims.
winery,A facility where wine is produced and often sold directly to customers.
yucatecan restaurant,"A restaurant serving cuisine from the Yucatán Peninsula, Mexico."
college auditorium,"A large hall on a college campus for lectures, performances, or events."
nursing home,A residential facility providing long-term care for elderly or disabled individuals.
fashion accessories store,"A shop selling items like jewelry, bags, and hats."
sports medicine clinic,A medical facility specializing in sports injuries and performance care.
tv station,A facility producing and broadcasting television content.
oral surgeon,"A dental specialist performing surgeries related to teeth, mouth, and jaw."
tantuni restaurant,"A restaurant serving tantuni, a Turkish street food wrap with spiced meat."
gymnastics,A sport involving physical exercises on apparatus or floor routines.
electrical equipment supplier,"A company providing electrical devices, components, and systems."
repair service,A business providing repair services for equipment or devices.
malay restaurant,A restaurant serving cuisine from the Malay region (Malaysia and surrounding areas).
festival,"A public celebration with entertainment, food, and cultural events."
parade,"A public procession with participants, floats, and performances."
meeting room,"A room designated for gatherings, conferences, or business meetings."
baggage claim,An area in airports where passengers retrieve checked luggage.
beer store,A shop selling beer and related beverages.
children's hospital,A medical facility specializing in healthcare for children.
distribution center,A warehouse facility for storing and distributing goods.
college cafeteria,A dining facility on a college campus.
nudist beach,A beach where clothing is optional and nudity is accepted.
laundry service,A business providing washing and cleaning of clothing and textiles.
meat and seafood store,"A retail shop selling fresh meat, poultry, and seafood."
japanese family restaurant,A casual Japanese restaurant catering to families with a variety of dishes.
industrial equipment supplier,"A company providing machinery, tools, and equipment for industrial use."
recording studio,"A facility equipped for recording music, audio, or voice-overs."
fraternity house,A residence for members of a college fraternity.
dim sum restaurant,"A restaurant serving dim sum, small bite-sized Chinese dishes, often steamed or fried."
kumpir restaurant,"A restaurant serving kumpir, a Turkish stuffed baked potato dish."
friuli restaurant,"A restaurant serving cuisine from Friuli, a region in northeastern Italy."
brazilian restaurant,A restaurant serving cuisine from Brazil.
borek place,"A restaurant or bakery specializing in börek, a baked filled pastry common in Turkey."
souvenir store,A retail shop selling memorabilia and keepsakes for tourists.
bar,An establishment serving alcoholic beverages and sometimes food.
roof deck,"An outdoor space on the roof of a building, often used for relaxation or events."
machine shop,A workshop where metal parts and machinery are fabricated or repaired.
cupcake shop,A bakery specializing in cupcakes and related pastries.
gourmet store,"A retail shop selling high-quality, specialty, and luxury food items."
varenyky restaurant,"A restaurant serving varenyky, Ukrainian dumplings filled with various ingredients."
collections service,A company providing debt collection or accounts receivable services.
imported food store,A retail store selling food products imported from other countries.
river,"A natural flowing watercourse, usually freshwater, that flows toward an ocean, sea, or lake."
czech restaurant,A restaurant serving cuisine from the Czech Republic.
boxing gym,A facility providing boxing training and workouts.
rv park,A park or campground equipped for recreational vehicles.
urgent care center,"A medical facility providing immediate, non-emergency care."
south indian restaurant,"A restaurant serving cuisine from South India, including dosa, idli, and curry dishes."
internet cafe,A place providing internet access and sometimes food or beverages.
tennis store,"A retail shop selling tennis equipment, clothing, and accessories."
skydiving drop zone,A location designated for skydiving jumps and related services.
fried chicken joint,A casual eatery specializing in fried chicken dishes.
beer festival,"An event celebrating beer with tastings, vendors, and entertainment."
sorority house,A residence for members of a college sorority.
nabe restaurant,"A restaurant serving nabe, a Japanese hot pot dish with meat, vegetables, and broth."
history museum,A museum dedicated to preserving and exhibiting historical artifacts and knowledge.
real estate service,"A company providing services related to buying, selling, or managing real estate."
english restaurant,A restaurant serving traditional English cuisine.
spanish restaurant,A restaurant serving cuisine from Spain.
media agency,"A company specializing in media planning, advertising, and communications."
frozen yogurt shop,A store selling frozen yogurt and related toppings.
real estate agency,"A business facilitating buying, selling, or renting of properties."
fuel station,"A facility selling gasoline, diesel, or other fuels for vehicles."
bath house,"A facility offering public bathing, often with spa services."
lake,A large body of freshwater or saltwater surrounded by land.
barbershop,"A place providing haircuts, shaves, and grooming services for men."
hospice,A facility or service providing end-of-life care and support for terminally ill patients.
chinese aristocrat restaurant,A restaurant serving high-end or traditional Chinese cuisine inspired by aristocratic tastes.
argentinian restaurant,"A restaurant serving cuisine from Argentina, often featuring grilled meats and empanadas."
