OSM_tag;OSM_path;OSM_description;FS_candidates;FS_scores;FS_tag_GPT;OSM_full_description;FS_manual_path;FS_manual_tag;correct;correct_in_k;correct_embedding;correct_in_k_or_main;OSM_main;OSM_main_sub
rest area;highway > highway features > rest area;Place where drivers can leave the road to rest, but not refuel.;['rest area', 'truck stop', 'road', 'fuel station', 'motel'];[0.6194007992744446, 0.4531557559967041, 0.4399632215499878, 0.40640226006507874, 0.3797864317893982];rest area;Place where drivers can leave the road to rest, but not refuel.;travel transportation > rest area;rest area;1;1;1;1;highway;highway > highway features
services;highway > highway features > services;A service station to get food and eat something, often found at motorways;['food truck', 'food beverage service', 'transportation service', 'caterer', 'food distribution center'];[0.45357266068458557, 0.4439159035682678, 0.434156596660614, 0.42880773544311523, 0.41851502656936646];food beverage service;A service station to get food and eat something, often found at motorways;travel transportation > rest area;rest area;0;0;0;0;highway;highway > highway features
speed camera;highway > highway features > speed camera;A fixed road-side or overhead speed camera.;['bike trail', 'road', 'scenic lookout', 'intersection', 'field'];[0.35400575399398804, 0.32972776889801025, 0.3279027044773102, 0.3268660008907318, 0.3179512917995453];road;A fixed road-side or overhead speed camera.;travel transportation > road;road;1;1;0;1;highway;highway > highway features
speed display;highway > highway features > speed display;A dynamic electronic sign that displays the speed of the passer-by motorist.;['road', 'street', 'toll booth', 'truck stop', 'public transportation'];[0.3636656701564789, 0.363142192363739, 0.3099558353424072, 0.30052024126052856, 0.29965588450431824];road;A dynamic electronic sign that displays the speed of the passer-by motorist.;travel transportation > road;road;1;1;1;1;highway;highway > highway features
stop;highway > highway features > stop;A stop sign;['truck stop', 'bus stop', 'intersection', 'bike trail', 'road'];[0.500409722328186, 0.4454331398010254, 0.3713354468345642, 0.3531007468700409, 0.34200066328048706];bus stop;A stop sign;travel transportation > road > intersection;intersection;0;1;0;1;highway;highway > highway features
street lamp;highway > highway features > street lamp;A street light, lamppost, street lamp, light standard, or lamp standard is a raised source of light on the edge of a road, which is turned on or lit at a certain time every night;['street', 'lighthouse', 'light rail station', 'road', 'intersection'];[0.34190094470977783, 0.3410322368144989, 0.33006078004837036, 0.32174357771873474, 0.2769213318824768];street;A street light, lamppost, street lamp, light standard, or lamp standard is a raised source of light on the edge of a road, which is turned on or lit at a certain time every night;travel transportation > road;road;0;1;0;1;highway;highway > highway features
toll gantry;highway > highway features > toll gantry;A toll gantry is a gantry suspended over a way, usually a motorway, as part of a system of electronic toll collection. For a toll booth with any kind of barrier or booth see: barrier=toll_booth;['toll booth', 'toll plaza', 'truck stop', 'road', 'intersection'];[0.5261766910552979, 0.4964076280593872, 0.34233132004737854, 0.3272361159324646, 0.3016786277294159];toll plaza;A toll gantry is a gantry suspended over a way, usually a motorway, as part of a system of electronic toll collection. For a toll booth with any kind of barrier or booth see: barrier=toll_booth;travel transportation > toll plaza;toll plaza;1;1;0;1;highway;highway > highway features
traffic mirror;highway > highway features > traffic mirror;Mirror that reflects the traffic on one road when direct view is blocked.;['intersection', 'road', 'truck stop', 'street', 'toll booth'];[0.3609619140625, 0.3428961932659149, 0.3099210858345032, 0.3082737326622009, 0.3027307391166687];intersection;Mirror that reflects the traffic on one road when direct view is blocked.;travel transportation > road;road;0;1;0;1;highway;highway > highway features
traffic signals;highway > highway features > traffic signals;Lights that control the traffic;['intersection', 'light rail station', 'truck stop', 'road', 'bus line'];[0.36665424704551697, 0.3637647032737732, 0.33621546626091003, 0.3242807686328888, 0.30727922916412354];intersection;Lights that control the traffic;travel transportation;travel transportation;0;0;0;0;highway;highway > highway features
trailhead;highway > highway features > trailhead;Designated place to start on a trail or route;['bike trail', 'hiking trail', 'hill', 'campground', 'rock climbing spot'];[0.543182373046875, 0.5277761220932007, 0.45412325859069824, 0.4271535873413086, 0.4204062819480896];hiking trail;Designated place to start on a trail or route;sports recreation > running track > track;track;0;0;0;0;highway;highway > highway features
turning circle;highway > highway features > turning circle;A turning circle is a rounded, widened area usually, but not necessarily, at the end of a road to facilitate easier turning of a vehicle. Also known as a cul de sac.;['road', 'intersection', 'street', 'bike trail', 'truck stop'];[0.3974199891090393, 0.34218689799308777, 0.3049316704273224, 0.30189889669418335, 0.28658032417297363];road;A turning circle is a rounded, widened area usually, but not necessarily, at the end of a road to facilitate easier turning of a vehicle. Also known as a cul de sac.;travel transportation > road;road;1;1;1;1;highway;highway > highway features
turning loop;highway > highway features > turning loop;A widened area of a highway with a non-traversable island for turning around, often circular and at the end of a road.;['island', 'road', 'bike trail', 'intersection', 'hiking trail'];[0.4183601140975952, 0.36266279220581055, 0.3351989984512329, 0.3174291253089905, 0.2929311692714691];road;A widened area of a highway with a non-traversable island for turning around, often circular and at the end of a road.;travel transportation > road;road;1;1;0;1;highway;highway > highway features
aircraft;historic > aircraft;A decommissioned aircraft which generally remains in one place.;['vintage thrift store', 'historic protected site', 'antique store', 'plane', 'history museum'];[0.29069215059280396, 0.28275948762893677, 0.2776624262332916, 0.25026407837867737, 0.24753592908382416];historic protected site;A decommissioned aircraft which generally remains in one place.;landmarks outdoors > historic protected site;historic protected site;1;1;0;1;historic;historic > aircraft
anchor;historic > anchor;A historic/retired anchor. Usually found in historic maritime areas.;['boat launch', 'historic protected site', 'pier', 'tunnel', 'nature preserve'];[0.46634188294410706, 0.43626949191093445, 0.4208661615848541, 0.41222652792930603, 0.3875904083251953];historic protected site;A historic/retired anchor. Usually found in historic maritime areas.;landmarks outdoors > historic protected site;historic protected site;1;1;0;1;historic;historic > anchor
aqueduct;historic > aqueduct;A historic structure to convey water;['dam', 'canal', 'river', 'reservoir', 'bridge'];[0.4829148054122925, 0.480455219745636, 0.4557390511035919, 0.4397509694099426, 0.40879565477371216];canal;A historic structure to convey water;landmarks outdoors > historic protected site;historic protected site;0;0;0;0;historic;historic > aqueduct
archaeological site;historic > archaeological site;A place in which evidence of past activity is preserved.;['historic protected site', 'nature preserve', 'cave', 'memorial site', 'monument'];[0.5650445222854614, 0.4866507649421692, 0.4512736201286316, 0.4437481760978699, 0.4373989701271057];historic protected site;A place in which evidence of past activity is preserved.;landmarks outdoors > historic protected site;historic protected site;1;1;1;1;historic;historic > archaeological site
battlefield;historic > battlefield;The site of a battle or military skirmish in the past.;['historic protected site', 'memorial site', 'field', 'monument', 'cave'];[0.44882863759994507, 0.4336806535720825, 0.37234795093536377, 0.3705829381942749, 0.3696833848953247];memorial site;The site of a battle or military skirmish in the past.;landmarks outdoors > historic protected site;historic protected site;0;1;1;1;historic;historic > battlefield
bomb crater;historic > bomb crater;A bomb crater;['volcano', 'nudist beach', 'dam', 'monument', 'historic protected site'];[0.3768252432346344, 0.32001742720603943, 0.30948370695114136, 0.3077485263347626, 0.27479562163352966];historic protected site;A bomb crater;landmarks outdoors > historic protected site;historic protected site;1;1;0;1;historic;historic > bomb crater
boundary stone;historic > boundary stone;A historic physical marker that identifies a boundary;['historic protected site', 'monument', 'canal', 'tunnel', 'memorial site'];[0.39653873443603516, 0.378050833940506, 0.3639734387397766, 0.3450073301792145, 0.33967316150665283];historic protected site;A historic physical marker that identifies a boundary;landmarks outdoors > historic protected site;historic protected site;1;1;1;1;historic;historic > boundary stone
building;historic > building;Unspecified historic building.;['historic protected site', 'residential building', 'monument', 'structure', 'home private'];[0.5598994493484497, 0.5097965002059937, 0.48504459857940674, 0.477224200963974, 0.4398646950721741];historic protected site;Unspecified historic building.;landmarks outdoors > historic protected site;historic protected site;1;1;1;1;historic;historic > building
bullaun stone;historic > bullaun stone;A stone with one or more depressions;['cave', 'monument', 'bike trail', 'rock climbing spot', 'historic protected site'];[0.3183865547180176, 0.2868526577949524, 0.26268643140792847, 0.2614249885082245, 0.2537786364555359];monument;A stone with one or more depressions;landmarks outdoors > historic protected site;historic protected site;0;1;0;1;historic;historic > bullaun stone
cannon;historic > cannon;A historic/retired cannon. Usually found on forts or battlefields.;['gun range', 'castle', 'dam', 'lake', 'historic protected site'];[0.3406944274902344, 0.3097084164619446, 0.2867279052734375, 0.2836930751800537, 0.26909589767456055];historic protected site;A historic/retired cannon. Usually found on forts or battlefields.;landmarks outdoors > historic protected site;historic protected site;1;1;0;1;historic;historic > cannon
castle;historic > castle;Used for various kinds of castles, palaces, fortresses, manors, stately homes, kremlins, shiros and other.;['castle', 'palace', 'blini house', 'pelmeni house', 'retirement home'];[0.4946085810661316, 0.36985719203948975, 0.2760915160179138, 0.25077691674232483, 0.24222281575202942];castle;Used for various kinds of castles, palaces, fortresses, manors, stately homes, kremlins, shiros and other.;landmarks outdoors > castle;castle;1;1;1;1;historic;historic > castle
castle wall;historic > castle wall;A fortification surrounding the bailey of a castle.;['castle', 'dam', 'palace', 'history museum', 'historic protected site'];[0.5993729829788208, 0.32611405849456787, 0.3015623092651367, 0.28584545850753784, 0.2795095145702362];castle;A fortification surrounding the bailey of a castle.;landmarks outdoors > castle;castle;1;1;1;1;historic;historic > castle wall
cattle crush;historic > cattle crush;;['farm', 'event', 'animal shelter', 'forest', 'conference'];[0.3672444820404053, 0.28981882333755493, 0.2852849066257477, 0.2442353069782257, 0.24126286804676056];farm;;landmarks outdoors > historic protected site;historic protected site;0;0;0;0;historic;historic > cattle crush
charcoal pile;historic > charcoal pile;Historic site of a charcoal pile. Often still in good condition in hilly forest areas.;['forest', 'nature preserve', 'hill', 'tree', 'dump'];[0.3961217999458313, 0.3378447890281677, 0.3346743583679199, 0.3282424807548523, 0.3230808973312378];forest;Historic site of a charcoal pile. Often still in good condition in hilly forest areas.;landmarks outdoors > historic protected site;historic protected site;0;0;0;0;historic;historic > charcoal pile
church;historic > church;A church with a historical value.;['church', 'historic protected site', 'monastery', 'monument', 'temple'];[0.48211729526519775, 0.44313496351242065, 0.38745665550231934, 0.3668963313102722, 0.36672234535217285];church;A church with a historical value.;community government > spiritual center > church;church;1;1;1;1;historic;historic > church
city gate;historic > city gate;A city gate within a city wall;['airport gate', 'tunnel', 'urban park', 'monument', 'city hall'];[0.44479185342788696, 0.4219522476196289, 0.42017173767089844, 0.4056590497493744, 0.4014325439929962];monument;A city gate within a city wall;landmarks outdoors > historic protected site;historic protected site;0;0;0;0;historic;historic > city gate
citywalls;historic > citywalls;A citywall is a fortification used to defend a city.;['historic protected site', 'castle', 'waterfront', 'bridge', 'monument'];[0.3757026791572571, 0.3321017622947693, 0.3093324303627014, 0.298900306224823, 0.2972254753112793];historic protected site;A citywall is a fortification used to defend a city.;landmarks outdoors > historic protected site;historic protected site;1;1;1;1;historic;historic > citywalls
creamery;historic > creamery;A creamery is an industrial building where butter and sometimes cheese or ice-cream were made from milk. For rural communities, it also served as a social gathering point.;['ice cream parlor', 'dairy store', 'frozen yogurt shop', 'cheese store', 'street food gathering'];[0.5786029696464539, 0.4563875198364258, 0.43970996141433716, 0.4189944863319397, 0.4160590171813965];dairy store;A creamery is an industrial building where butter and sometimes cheese or ice-cream were made from milk. For rural communities, it also served as a social gathering point.;landmarks outdoors > historic protected site;historic protected site;0;0;0;0;historic;historic > creamery
district;historic > district;A designated historic district.;['town hall', 'village', 'cemetery', 'neighborhood', 'residential building'];[0.42964795231819153, 0.4236311614513397, 0.4213506281375885, 0.41137373447418213, 0.4000023901462555];neighborhood;A designated historic district.;landmarks outdoors > historic protected site;historic protected site;0;0;0;0;historic;historic > district
epigraph;historic > epigraph;A historic inscription on an object;['monument', 'historic protected site', 'sculpture garden', 'memorial site', 'structure'];[0.3830699026584625, 0.3626552224159241, 0.32863080501556396, 0.32683080434799194, 0.3140680491924286];monument;A historic inscription on an object;landmarks outdoors > historic protected site;historic protected site;0;1;0;1;historic;historic > epigraph
farm;historic > farm;A historical farm, kept in its original state.;['farm', 'historic protected site', 'antique store', 'village', 'cemetery'];[0.5429176092147827, 0.35462242364883423, 0.341022789478302, 0.3354029059410095, 0.3059922456741333];farm;A historical farm, kept in its original state.;landmarks outdoors > historic protected site;historic protected site;0;1;0;1;historic;historic > farm
fort;historic > fort;A military fort, a stand-alone defensive structure which differs from a castle in that there is no permanent residence.;['castle', 'military base', 'historic protected site', 'bridge', 'football field'];[0.449923038482666, 0.36457857489585876, 0.3213338255882263, 0.2693142890930176, 0.2656850516796112];military base;A military fort, a stand-alone defensive structure which differs from a castle in that there is no permanent residence.;landmarks outdoors > historic protected site;historic protected site;0;1;0;1;historic;historic > fort
gallows;historic > gallows;Remains of a gallows.;['cemetery', 'stable', 'historic protected site', 'nature preserve', 'windmill'];[0.3069911003112793, 0.25980275869369507, 0.25682610273361206, 0.2401764690876007, 0.22909748554229736];historic protected site;Remains of a gallows.;landmarks outdoors > historic protected site;historic protected site;1;1;0;1;historic;historic > gallows
house;historic > house;A historic house.;['home private', 'residential building', 'historic protected site', 'retirement home', 'history museum'];[0.47285783290863037, 0.46154168248176575, 0.44397813081741333, 0.4334622919559479, 0.38493263721466064];historic protected site;A historic house.;landmarks outdoors > historic protected site;historic protected site;1;1;0;1;historic;historic > house
high cross;historic > high cross;An early medieaval standing cross, richly decorated, often with a ring surrounding the crossing point.;['bridge', 'rock climbing spot', 'tunnel', 'field', 'river'];[0.44103825092315674, 0.4018101692199707, 0.39840298891067505, 0.3972123861312866, 0.37662842869758606];bridge;An early medieaval standing cross, richly decorated, often with a ring surrounding the crossing point.;landmarks outdoors > historic protected site;historic protected site;0;0;0;0;historic;historic > high cross
highwater mark;historic > highwater mark;A marker indicating a past flood or high water.;['river', 'historic protected site', 'lake', 'dam', 'memorial site'];[0.4211951196193695, 0.40399494767189026, 0.3756646513938904, 0.36513277888298035, 0.35512393712997437];historic protected site;A marker indicating a past flood or high water.;landmarks outdoors > historic protected site;historic protected site;1;1;0;1;historic;historic > highwater mark
lavoir;historic > lavoir;A disused lavoir mapped for its historical value.;['historic protected site', 'volcano', 'monument', 'river', 'reservoir'];[0.3874393105506897, 0.3601190447807312, 0.32574135065078735, 0.3239421844482422, 0.32219743728637695];historic protected site;A disused lavoir mapped for its historical value.;landmarks outdoors > historic protected site;historic protected site;1;1;1;1;historic;historic > lavoir
lime kiln;historic > lime kiln;Built structure which was used in the past to produce quicklime from limestone.;['cave', 'reservoir', 'volcano', 'historic protected site', 'monument'];[0.3222275376319885, 0.3158273696899414, 0.3044397532939911, 0.3013625741004944, 0.29982420802116394];historic protected site;Built structure which was used in the past to produce quicklime from limestone.;landmarks outdoors > historic protected site;historic protected site;1;1;0;1;historic;historic > lime kiln
locomotive;historic > locomotive;A decommissioned locomotive which generally remains in one place;['train', 'rail station', 'light rail station', 'fuel station', 'track'];[0.5052464604377747, 0.365487277507782, 0.33603182435035706, 0.3022114932537079, 0.2850542962551117];train;A decommissioned locomotive which generally remains in one place;landmarks outdoors > historic protected site;historic protected site;0;0;0;0;historic;historic > locomotive
machine;historic > machine;A historic machine.;['machine shop', 'antique store', 'vintage thrift store', 'history museum', 'factory'];[0.47189176082611084, 0.32918643951416016, 0.3183438777923584, 0.3120432198047638, 0.3000034987926483];history museum;A historic machine.;landmarks outdoors > historic protected site;historic protected site;0;0;0;0;historic;historic > machine
manor;historic > manor;Historic manors/mansions having different use today;['palace', 'castle', 'antique store', 'farm', 'boarding house'];[0.33173874020576477, 0.32755595445632935, 0.31214940547943115, 0.30845001339912415, 0.2903076410293579];palace;Historic manors/mansions having different use today;landmarks outdoors > historic protected site;historic protected site;0;0;0;0;historic;historic > manor
memorial;historic > memorial;Small memorials, usually remembering special persons, people who lost their lives in the wars, past events or missing places.;['memorial site', 'cemetery', 'historic protected site', 'monument', 'funeral home'];[0.5731096863746643, 0.4635199308395386, 0.44004878401756287, 0.4390646815299988, 0.36927223205566406];memorial site;Small memorials, usually remembering special persons, people who lost their lives in the wars, past events or missing places.;landmarks outdoors > memorial site;memorial site;1;1;1;1;historic;historic > memorial
milestone;historic > milestone;A historic marker that shows the distance to important destinations.;['landmarks outdoors', 'historic protected site', 'monument', 'great outdoors', 'bike trail'];[0.5244256258010864, 0.5111010670661926, 0.5103940367698669, 0.506672203540802, 0.5054525136947632];monument;A historic marker that shows the distance to important destinations.;landmarks outdoors > historic protected site;historic protected site;0;1;0;1;historic;historic > milestone
millstone;historic > millstone;A large round stone used for grinding grain or other materials.;['antique store', 'arts crafts store', 'metals supplier', 'roller rink', 'rock climbing spot'];[0.2635820806026459, 0.24463285505771637, 0.22823181748390198, 0.22372213006019592, 0.1976352035999298];antique store;A large round stone used for grinding grain or other materials.;landmarks outdoors > historic protected site;historic protected site;0;0;0;0;historic;historic > millstone
mine;historic > mine;Location of historic underground mine workings for minerals such as coal or lead.;['cave', 'rock climbing spot', 'dam', 'tunnel', 'volcano'];[0.48293426632881165, 0.46614620089530945, 0.41626787185668945, 0.3975200951099396, 0.39329802989959717];tunnel;Location of historic underground mine workings for minerals such as coal or lead.;landmarks outdoors > historic protected site;historic protected site;0;0;0;0;historic;historic > mine
minecart;historic > minecart;A cart used to transport coal or ore from a mine.;['train', 'boat ferry', 'fuel station', 'cave', 'rail station'];[0.39507555961608887, 0.33551687002182007, 0.3342052698135376, 0.32673555612564087, 0.3226630687713623];train;A cart used to transport coal or ore from a mine.;landmarks outdoors > historic protected site;historic protected site;0;0;0;0;historic;historic > minecart
monastery;historic > monastery;Building/place that is a historically significant monastery.;['monastery', 'buddhist temple', 'confucian temple', 'historic protected site', 'temple'];[0.6492739319801331, 0.4629257917404175, 0.42547497153282166, 0.41960492730140686, 0.4090055227279663];monastery;Building/place that is a historically significant monastery.;community government > spiritual center > monastery;monastery;1;1;1;1;historic;historic > monastery
monument;historic > monument;A memorial object, which is especially large, built to remember, show respect to a person or group of people or to commemorate an event.;['monument', 'memorial site', 'historic protected site', 'pedestrian plaza', 'cemetery'];[0.568011999130249, 0.5522133111953735, 0.4956774115562439, 0.41627636551856995, 0.3969688415527344];monument;A memorial object, which is especially large, built to remember, show respect to a person or group of people or to commemorate an event.;landmarks outdoors > monument;monument;1;1;1;1;historic;historic > monument
mosque;historic > mosque;A mosque with a historical and archaeological value.;['mosque', 'historic protected site', 'monument', 'palace', 'memorial site'];[0.5298510789871216, 0.3820487856864929, 0.3731107711791992, 0.33079761266708374, 0.32477229833602905];mosque;A mosque with a historical and archaeological value.;community government > spiritual center > mosque;mosque;1;1;1;1;historic;historic > mosque
ogham stone;historic > ogham stone;A stone with an Ogham script on it. They are most commonly found in Ireland as free standing stones, lying on the ground, recycled in buildings such as churches or as artefacts in museums.;['historic protected site', 'monument', 'kingdom hall', 'sculpture garden', 'cave'];[0.3712961673736572, 0.36777210235595703, 0.3508041799068451, 0.3285236358642578, 0.3220810294151306];monument;A stone with an Ogham script on it. They are most commonly found in Ireland as free standing stones, lying on the ground, recycled in buildings such as churches or as artefacts in museums.;landmarks outdoors > historic protected site;historic protected site;0;1;1;1;historic;historic > ogham stone
optical telegraph;historic > optical telegraph;Semaphore system;['light rail station', 'lighthouse', 'laser tag center', 'transmissions shop', 'observatory'];[0.3078106641769409, 0.267474502325058, 0.24703779816627502, 0.24579621851444244, 0.19679713249206543];transmissions shop;Semaphore system;landmarks outdoors > historic protected site;historic protected site;0;0;0;0;historic;historic > optical telegraph
pa;historic > pa;A New Zealand Maori Pā;['island', 'volcano', 'historic protected site', 'hawaiian restaurant', 'village'];[0.3810240626335144, 0.3460768461227417, 0.33091771602630615, 0.3205961585044861, 0.31813275814056396];historic protected site;A New Zealand Maori P�?;landmarks outdoors > historic protected site;historic protected site;1;1;0;1;historic;historic > pa
pillory;historic > pillory;A pillory.;['health medicine', 'healthcare clinic', 'event', 'hospice', 'line'];[0.2614731788635254, 0.2445223033428192, 0.24185709655284882, 0.24031496047973633, 0.22489604353904724];event;A pillory.;landmarks outdoors > historic protected site;historic protected site;0;0;0;0;historic;historic > pillory
pound;historic > pound;A former amenity to hold stray or seized animals, often walled.;['animal shelter', 'historic protected site', 'nature preserve', 'equestrian facility', 'dog park'];[0.4852108955383301, 0.34225893020629883, 0.30274027585983276, 0.26838812232017517, 0.2656739354133606];historic protected site;A former amenity to hold stray or seized animals, often walled.;landmarks outdoors > historic protected site;historic protected site;1;1;0;1;historic;historic > pound
railway car;historic > railway car;A decommissioned railway car which generally remains in one place;['train', 'rail station', 'cable car', 'light rail station', 'classic antique car dealership'];[0.484346479177475, 0.423828661441803, 0.3768230676651001, 0.3737508952617645, 0.3527680039405823];train;A decommissioned railway car which generally remains in one place;landmarks outdoors > historic protected site;historic protected site;0;0;0;0;historic;historic > railway car
road;historic > road;A road or street that is of historical importance.;['street', 'road', 'historic protected site', 'great outdoors', 'monument'];[0.5234666466712952, 0.4838023781776428, 0.47738245129585266, 0.44076699018478394, 0.4317419230937958];historic protected site;A road or street that is of historical importance.;landmarks outdoors > historic protected site;historic protected site;1;1;0;1;historic;historic > road
round tower;historic > round tower;Slim, conical tower built as a bell tower and watchtower in Ireland.;['monument', 'lighthouse', 'windmill', 'rock climbing spot', 'castle'];[0.30420976877212524, 0.2689843475818634, 0.2637920081615448, 0.26172417402267456, 0.25448039174079895];monument;Slim, conical tower built as a bell tower and watchtower in Ireland.;landmarks outdoors > historic protected site;historic protected site;0;0;0;0;historic;historic > round tower
ruins;historic > ruins;Remains of structures that were once complete, but have fallen into partial or complete disrepair.;['historic protected site', 'structure', 'nature preserve', 'monument', 'stable'];[0.43498897552490234, 0.37486833333969116, 0.34620776772499084, 0.342748761177063, 0.33717313408851624];historic protected site;Remains of structures that were once complete, but have fallen into partial or complete disrepair.;landmarks outdoors > historic protected site;historic protected site;1;1;1;1;historic;historic > ruins
rune stone;historic > rune stone;Stones, boulders or bedrock with historical runic inscriptions.;['rock climbing spot', 'cave', 'historic protected site', 'monument', 'volcano'];[0.4104660451412201, 0.40896880626678467, 0.3800373077392578, 0.37329426407814026, 0.3608681559562683];historic protected site;Stones, boulders or bedrock with historical runic inscriptions.;landmarks outdoors > historic protected site;historic protected site;1;1;0;1;historic;historic > rune stone
shieling;historic > shieling;An abandoned mountain pasture;['farm', 'mountain', 'hill', 'mountain hut', 'nature preserve'];[0.5120053887367249, 0.4186730980873108, 0.40243691205978394, 0.39576438069343567, 0.375527560710907];farm;An abandoned mountain pasture;landmarks outdoors;landmarks outdoors;0;0;0;0;historic;historic > shieling
ship;historic > ship;A decommissioned ship/submarine which generally remains in one place;['marine terminal', 'boat launch', 'boat ferry', 'harbor marina', 'boat rental'];[0.388391375541687, 0.3163004517555237, 0.3137202262878418, 0.31282496452331543, 0.2806720733642578];marine terminal;A decommissioned ship/submarine which generally remains in one place;landmarks outdoors > historic protected site;historic protected site;0;0;0;0;historic;historic > ship
stecak;historic > stecak;Specifies megalithic gravestone from medieval Bosnia.;['cemetery', 'bosnian restaurant', 'memorial site', 'historic protected site', 'monument'];[0.354827880859375, 0.3009730577468872, 0.27157819271087646, 0.27119961380958557, 0.2638322114944458];memorial site;Specifies megalithic gravestone from medieval Bosnia.;landmarks outdoors > historic protected site;historic protected site;0;1;0;1;historic;historic > stecak
stone;historic > stone;A stone shaped or placed by man with historical value.;['monument', 'historic protected site', 'cave', 'rock climbing spot', 'memorial site'];[0.36216700077056885, 0.36128491163253784, 0.33520758152008057, 0.29947781562805176, 0.29327690601348877];monument;A stone shaped or placed by man with historical value.;landmarks outdoors > historic protected site;historic protected site;0;1;0;1;historic;historic > stone
tank;historic > tank;A decommissioned tank which generally remains in one place;['fuel station', 'aquarium', 'reservoir', 'historic protected site', 'recycling facility'];[0.2790376543998718, 0.2720106244087219, 0.27085545659065247, 0.2586062550544739, 0.25173771381378174];historic protected site;A decommissioned tank which generally remains in one place;landmarks outdoors > historic protected site;historic protected site;1;1;0;1;historic;historic > tank
temple;historic > temple;An ancient pagan temple in_situ and in various degree of preservation, such as Ziggurat, Egyptian temple, Mithraeum, Erechtheion, Buddhist, Meso-American and other ancient religious and rituals' temples, with a historical and archaeological value.;['temple', 'hindu temple', 'buddhist temple', 'confucian temple', 'sikh temple'];[0.5405111908912659, 0.5261691808700562, 0.5224518775939941, 0.5081567168235779, 0.4740183353424072];temple;An ancient pagan temple in_situ and in various degree of preservation, such as Ziggurat, Egyptian temple, Mithraeum, Erechtheion, Buddhist, Meso-American and other ancient religious and rituals' temples, with a historical and archaeological value.;community government > spiritual center > temple;temple;1;1;1;1;historic;historic > temple
tomb;historic > tomb;A structure where somebody has been buried.;['cemetery', 'memorial site', 'monument', 'historic protected site', 'cave'];[0.5892611145973206, 0.5228871703147888, 0.5037237405776978, 0.46924877166748047, 0.4638366103172302];tomb;A structure where somebody has been buried.;community government > cemetery;cemetery;0;1;1;1;historic;historic > tomb
tower;historic > tower;This property distinguishes a tower as historic;['historic protected site', 'monument', 'roof deck', 'structure', 'palace'];[0.5129439830780029, 0.4353114366531372, 0.4132291078567505, 0.4032250940799713, 0.38988885283470154];historic protected site;This property distinguishes a tower as historic;landmarks outdoors > historic protected site;historic protected site;1;1;1;1;historic;historic > tower
vehicle;historic > vehicle;A decommissioned vehicle which generally remains in one place;['classic antique car dealership', 'motor scooter dealership', 'used car dealership', 'moped dealership', 'truck stop'];[0.4432294964790344, 0.35383105278015137, 0.35197582840919495, 0.3301545977592468, 0.31790030002593994];classic antique car dealership;A decommissioned vehicle which generally remains in one place;landmarks outdoors > historic protected site;historic protected site;0;0;0;0;historic;historic > vehicle
wayside cross;historic > wayside cross;A historical cross along a way, symbol of Christian faith.;['kingdom hall', 'shrine', 'border crossing', 'temple', 'church'];[0.3570466637611389, 0.3389408588409424, 0.32985156774520874, 0.3275105357170105, 0.31704235076904297];shrine;A historical cross along a way, symbol of Christian faith.;landmarks outdoors > historic protected site;historic protected site;0;0;0;0;historic;historic > wayside cross
wayside shrine;historic > wayside shrine;A shrine often showing a religious depiction. Tag is used also for modern shrines.;['shrine', 'hindu temple', 'temple', 'buddhist temple', 'sikh temple'];[0.5285757184028625, 0.42747774720191956, 0.40356147289276123, 0.4016675651073456, 0.38912832736968994];shrine;A shrine often showing a religious depiction. Tag is used also for modern shrines.;community government > spiritual center > shrine;shrine;1;1;1;1;historic;historic > wayside shrine
wreck;historic > wreck;A nautical craft that has been sunk or destroyed.;['boat launch', 'sailing club', 'boat ferry', 'salvage yard', 'harbor marina'];[0.44280797243118286, 0.37871962785720825, 0.3761659860610962, 0.3493814170360565, 0.3476485013961792];salvage yard;A nautical craft that has been sunk or destroyed.;landmarks outdoors > historic protected site;historic protected site;0;0;0;0;historic;historic > wreck
commercial;landuse > common landuse key values developed land > commercial;Predominantly commercial businesses and their offices. Commercial businesses which sell goods should be categorised as landuse=retail. Commercial businesses can sell services on site and may include private Doctor's Surgeries, and those non-government services for mental and physical health, such as a Counselor's or Physiotherapist's practice or Veterinary. Commercial businesses can also include office buildings and business parks which have limited interface with the public and sell their services either on site, or externally. Commercial businesses have low amounts of public foot traffic.;['corporate amenity', 'building land surveyor', 'outdoor event space', 'agriculture forestry service', 'industrial estate'];[0.475821316242218, 0.47463464736938477, 0.46472519636154175, 0.46228736639022827, 0.4612380862236023];corporate amenity;Predominantly commercial businesses and their offices. Commercial businesses which sell goods should be categorised as landuse=retail. Commercial businesses can sell services on site and may include private Doctor's Surgeries, and those non-government services for mental and physical health, such as a Counselor's or Physiotherapist's practice or Veterinary. Commercial businesses can also include office buildings and business parks which have limited interface with the public and sell their services either on site, or externally. Commercial businesses have low amounts of public foot traffic.;business professional services;business professional services;0;0;0;0;landuse;landuse > common landuse key values developed land
construction;landuse > common landuse key values developed land > construction;A site which is under active development and construction of a building or structure, including any purposeful alteration to the land or vegetation upon it. Abandoned construction projects and sites should not use this tag.;['housing development', 'historic protected site', 'residential building', 'nature preserve', 'home private'];[0.38155481219291687, 0.3657028079032898, 0.362670361995697, 0.34037041664123535, 0.33403652906417847];housing development;A site which is under active development and construction of a building or structure, including any purposeful alteration to the land or vegetation upon it. Abandoned construction projects and sites should not use this tag.;community government;community government;0;0;0;0;landuse;landuse > common landuse key values developed land
