OSM_tag;OSM_path;OSM_description;FS_candidates;FS_scores;FS_tag_GPT;OSM_full_description;FS_manual_path;FS_manual_tag;correct;new_correct;OSM_main;OSM_main_sub
industrial;landuse > common landuse key values developed land > industrial;Predominantly industrial landuses such as workshops, factories, or warehouses.;['industrial estate', 'farm', 'field', 'factory', 'kitchen supply store', 'industrial equipment supplier', 'housewares store', 'farmers market', 'antique store', 'hardware store', 'garden center', 'auto workshop', 'construction supplies store', 'agriculture forestry service', 'botanical garden', 'real estate appraiser', 'warehouse', 'building land surveyor', 'appraiser', 'village', 'hobby store', 'manufacturer', 'transport hub', 'metals supplier', 'distribution center', 'carpenter', 'furniture home store', 'market', 'salvage yard', 'hill'];[0.49676570296287537, 0.4731835722923279, 0.3843227028846741, 0.36615654826164246, 0.36383628845214844, 0.35687804222106934, 0.35182517766952515, 0.3403811454772949, 0.33801594376564026, 0.33642542362213135, 0.3312448561191559, 0.32954978942871094, 0.3242805004119873, 0.3204207420349121, 0.31709426641464233, 0.30890750885009766, 0.30707037448883057, 0.3061521649360657, 0.30547666549682617, 0.30547380447387695, 0.29982781410217285, 0.2975426912307739, 0.29424500465393066, 0.2854906916618347, 0.2849954068660736, 0.28350377082824707, 0.28207290172576904, 0.27927136421203613, 0.27802854776382446, 0.2767157554626465];industrial estate;Predominantly industrial landuses such as workshops, factories, or warehouses.;business professional services > industrial estate;industrial estate;1;1;landuse;landuse > common landuse key values developed land
residential;landuse > common landuse key values developed land > residential;"Land where people reside; predominantly residential detached (single houses, grouped dwellings), or attached (apartments, flats, units) dwellings. For ""Mixed-Use"" areas where more than half of the land is residential, tag as residential.
See also: Land use and areas of natural land#Open questions and Land use and areas of natural land § Open questions";['housing development', 'home private', 'residential building', 'apartment condo', 'neighborhood', 'real estate appraiser', 'village', 'city', 'building land surveyor', 'housing authority', 'town', 'assisted living', 'organization', 'retirement home', 'farm', 'trailer park', 'field', 'town hall', 'college history building', 'scenic lookout', 'cabin', 'industrial estate', 'city hall', 'hill', 'bridge', 'college technology building', 'bathing area', 'boarding house', 'college engineering building', 'club house'];[0.428802490234375, 0.4082069396972656, 0.4067436456680298, 0.3626335859298706, 0.3313591182231903, 0.32969212532043457, 0.3294570744037628, 0.32592475414276123, 0.32129135727882385, 0.3155442476272583, 0.3154933452606201, 0.3102456033229828, 0.3034399449825287, 0.3031061887741089, 0.2980036735534668, 0.29366570711135864, 0.29271847009658813, 0.28914546966552734, 0.28852054476737976, 0.28848427534103394, 0.28366419672966003, 0.2815786600112915, 0.2778758704662323, 0.27389732003211975, 0.2709476947784424, 0.27093586325645447, 0.26962125301361084, 0.26509055495262146, 0.26486778259277344, 0.2643779218196869];residential building;"Land where people reside; predominantly residential detached (single houses, grouped dwellings), or attached (apartments, flats, units) dwellings. For ""Mixed-Use"" areas where more than half of the land is residential, tag as residential.
See also: Land use and areas of natural land#Open questions and Land use and areas of natural land § Open questions";community government > residential building;residential building;1;1;landuse;landuse > common landuse key values developed land
retail;landuse > common landuse key values developed land > retail;"Predominantly retail businesses such as shops. Retail businesses sell physical goods such as food (prepared or grocery), clothing, medicine, stationary, appliances, tools, or other similar physical items. Retail businesses have high amounts of public foot traffic. Retail businesses do not exclusively provide or sell their services. For businesses which sell services see landuse=commercial.
Generally a member of the public could freely walk into and access a retail business. Retail is a subset of commercial, but should be used and treated as mutually exclusive in OpenStreetMap.";['gourmet store', 'housewares store', 'grocery store', 'supermarket', 'department store', 'farmers market', 'mobility store', 'retail', 'kitchen supply store', 'convenience store', 'miscellaneous store', 'skate store', 'fruit vegetable store', 'outdoor supply store', 'surf store', 'food truck', 'shopping mall', 'hardware store', 'fishing store', 'big box store', 'mobile phone store', 'shopping plaza', 'medical supply store', 'health food store', 'beer store', 'market', 'food distribution center', 'used car dealership', 'garden center', 'fish market'];[0.5712313652038574, 0.5581182241439819, 0.5561078786849976, 0.5334537625312805, 0.5151427984237671, 0.5098897218704224, 0.5087937116622925, 0.5083405375480652, 0.507165789604187, 0.5016696453094482, 0.5009795427322388, 0.4962608814239502, 0.48857343196868896, 0.4879359006881714, 0.4753204882144928, 0.4625484347343445, 0.46146726608276367, 0.46132558584213257, 0.4576056897640228, 0.4503669738769531, 0.4501457214355469, 0.4498257637023926, 0.43854188919067383, 0.4380142390727997, 0.4333847165107727, 0.43281465768814087, 0.4317368268966675, 0.4299534261226654, 0.42930370569229126, 0.4288334250450134];retail;"Predominantly retail businesses such as shops. Retail businesses sell physical goods such as food (prepared or grocery), clothing, medicine, stationary, appliances, tools, or other similar physical items. Retail businesses have high amounts of public foot traffic. Retail businesses do not exclusively provide or sell their services. For businesses which sell services see landuse=commercial.
Generally a member of the public could freely walk into and access a retail business. Retail is a subset of commercial, but should be used and treated as mutually exclusive in OpenStreetMap.";retail;retail;1;1;landuse;landuse > common landuse key values developed land
institutional;landuse > common landuse key values developed land > institutional;"Land used for institutional purposes, see Institution (disambiguation). Institutional land may contain one or more buildings like an office=government, office=ngo, office=association, amenity=social_facility and their associated infrastructure (car parks, service roads, yards and so-on) inside the area.
The meaning of this tag is ambiguous and unclear by some. Consider using another tag that better describes the object. For instance landuse=civic_admin.";['government building', 'environmental organization', 'city hall', 'government department', 'states municipalities', 'state', 'organization', 'college administrative building', 'state provincial park', 'apartment condo', 'country', 'housing authority', 'county', 'military base', 'college technology building', 'town hall', 'field', 'home private', 'building land surveyor', 'college communications building', 'farm', 'housing development', 'community government', 'police station', 'industrial estate', 'college quad', 'military', 'trailer park', 'capitol building', 'residential building'];[0.4276142716407776, 0.3954930901527405, 0.38698291778564453, 0.38421374559402466, 0.38128340244293213, 0.3797163665294647, 0.3779122829437256, 0.37233036756515503, 0.37187883257865906, 0.37032103538513184, 0.36868903040885925, 0.35864710807800293, 0.35697752237319946, 0.3536190688610077, 0.3505445718765259, 0.3501495122909546, 0.3493598699569702, 0.3419532775878906, 0.340376615524292, 0.3389604687690735, 0.33722978830337524, 0.33372074365615845, 0.3336215019226074, 0.32332655787467957, 0.3228420317173004, 0.3207490146160126, 0.3205668330192566, 0.31886300444602966, 0.31776008009910583, 0.316240131855011];community government;"Land used for institutional purposes, see Institution (disambiguation). Institutional land may contain one or more buildings like an office=government, office=ngo, office=association, amenity=social_facility and their associated infrastructure (car parks, service roads, yards and so-on) inside the area.
The meaning of this tag is ambiguous and unclear by some. Consider using another tag that better describes the object. For instance landuse=civic_admin.";community government;community government;1;1;landuse;landuse > common landuse key values developed land
aquaculture;landuse > common landuse key values rural agricultural land > aquaculture;"Aquaculture is the farming of freshwater and saltwater organisms such as finfish, molluscs, crustaceans and aquatic plants.
Warning: currently, there is no convention on the exact meaning of this tag. Therefore, it makes sense to treat it like ""boundary of aquaculture"" (without implication of water body), which means, water body should be tagged by its own, using natural=water etc.";['lake', 'bathing area', 'fishing area', 'farm', 'river', 'field', 'island', 'floating market', 'environmental organization', 'bay', 'fish market', 'swimming pool', 'waterfront', 'reservoir', 'aquarium', 'water park', 'rafting outfitter', 'water treatment service', 'swimming pool supply store', 'canal', 'water sports', 'poke restaurant', 'hubei restaurant', 'rafting spot', 'seafood restaurant', 'swim school', 'botanical garden', 'hockey field', 'kushikatsu restaurant', 'swimming'];[0.3835386633872986, 0.3582838773727417, 0.3349376916885376, 0.33076658844947815, 0.3191400170326233, 0.31858691573143005, 0.309845894575119, 0.307003378868103, 0.2940853238105774, 0.29373234510421753, 0.28952518105506897, 0.2781323194503784, 0.2779983580112457, 0.27168184518814087, 0.2677265703678131, 0.2641366720199585, 0.2600492537021637, 0.2584129273891449, 0.25414347648620605, 0.253726989030838, 0.25044694542884827, 0.24441953003406525, 0.24418118596076965, 0.23673972487449646, 0.23439255356788635, 0.23276914656162262, 0.2313447743654251, 0.23057441413402557, 0.2299002707004547, 0.22843524813652039];farm;"Aquaculture is the farming of freshwater and saltwater organisms such as finfish, molluscs, crustaceans and aquatic plants.
Warning: currently, there is no convention on the exact meaning of this tag. Therefore, it makes sense to treat it like ""boundary of aquaculture"" (without implication of water body), which means, water body should be tagged by its own, using natural=water etc.";business professional services > agriculture forestry service;agriculture forestry service;0;0;landuse;landuse > common landuse key values rural agricultural land
allotments;landuse > common landuse key values rural agricultural land > allotments;A piece of land given over to local residents for growing vegetables and flowers.;['farm', 'field', 'botanical garden', 'garden', 'village', 'farmers market', 'garden center', 'hill', 'forest', 'landscaper gardener', 'town', 'fruit vegetable store', 'scenic lookout', 'great outdoors', 'flower store', 'nature preserve', 'landmarks outdoors', 'city', 'state provincial park', 'salad restaurant', 'agriculture forestry service', 'organization', 'neighborhood', 'island', 'housewares store', 'food truck', 'food court', 'real estate appraiser', 'waterfront', 'natural park'];[0.5411315560340881, 0.48905330896377563, 0.46724623441696167, 0.46191513538360596, 0.411444753408432, 0.3856922686100006, 0.37111228704452515, 0.3625417649745941, 0.3587683439254761, 0.3489631116390228, 0.3399307429790497, 0.3368203639984131, 0.3270218074321747, 0.32118886709213257, 0.3204810619354248, 0.31401392817497253, 0.3093005120754242, 0.3053702116012573, 0.2931346297264099, 0.28979024291038513, 0.283976674079895, 0.28051087260246277, 0.27976760268211365, 0.27681398391723633, 0.27630215883255005, 0.2749749422073364, 0.2746046185493469, 0.2734137773513794, 0.2733575105667114, 0.2716175317764282];garden;A piece of land given over to local residents for growing vegetables and flowers.;landmarks outdoors > garden;garden;1;1;landuse;landuse > common landuse key values rural agricultural land
farmland;landuse > common landuse key values rural agricultural land > farmland;An area of farmland used for tillage (cereals, vegetables, oil plants, flowers).;['farm', 'field', 'botanical garden', 'garden', 'farmers market', 'village', 'hill', 'garden center', 'agriculture forestry service', 'forest', 'landscaper gardener', 'town', 'industrial estate', 'state provincial park', 'canal', 'nature preserve', 'fruit vegetable store', 'environmental organization', 'housewares store', 'kuruyemisci shop', 'landmarks outdoors', 'organization', 'scenic lookout', 'culinary school', 'great outdoors', 'food truck', 'agriturismo', 'city', 'trailer park', 'island'];[0.563323974609375, 0.46094322204589844, 0.38872718811035156, 0.3704491853713989, 0.3524079918861389, 0.3285393714904785, 0.31127962470054626, 0.31121575832366943, 0.30432409048080444, 0.3025466501712799, 0.2935566008090973, 0.2762306332588196, 0.27071669697761536, 0.2618286609649658, 0.25928306579589844, 0.25915759801864624, 0.2513769567012787, 0.24569088220596313, 0.2456057071685791, 0.24446672201156616, 0.24436461925506592, 0.24318398535251617, 0.2416209727525711, 0.2410985678434372, 0.23506301641464233, 0.23446714878082275, 0.23407036066055298, 0.23327824473381042, 0.2324928641319275, 0.22787520289421082];farm;An area of farmland used for tillage (cereals, vegetables, oil plants, flowers).;landmarks outdoors > farm;farm;1;1;landuse;landuse > common landuse key values rural agricultural land
farmyard;landuse > common landuse key values rural agricultural land > farmyard;An area of land with farm buildings like farmhouse, dwellings, farmsteads, sheds, stables, barns, equipment sheds, feed bunkers, etc. plus the open space in between them and the shrubbery/trees around them.;['farm', 'field', 'village', 'stable', 'town', 'great outdoors', 'botanical garden', 'forest', 'nature preserve', 'agriculture forestry service', 'trailer park', 'hill', 'animal shelter', 'landmarks outdoors', 'industrial estate', 'neighborhood', 'scenic lookout', 'waterfront', 'states municipalities', 'cabin', 'garden', 'residential building', 'campground', 'natural park', 'city', 'national park', 'town hall', 'playground', 'state provincial park', 'garden center'];[0.6617012023925781, 0.5376193523406982, 0.4668629765510559, 0.4163016080856323, 0.39967989921569824, 0.39465612173080444, 0.390591561794281, 0.3886237144470215, 0.37142062187194824, 0.3661843240261078, 0.3631584346294403, 0.36048591136932373, 0.36003953218460083, 0.3550072908401489, 0.3522902727127075, 0.3498266935348511, 0.34843266010284424, 0.34689170122146606, 0.3449622392654419, 0.3436290919780731, 0.34015125036239624, 0.3334217071533203, 0.3316187858581543, 0.32597023248672485, 0.32561826705932617, 0.3251023292541504, 0.3227725923061371, 0.321178138256073, 0.31680816411972046, 0.31679707765579224];farm;An area of land with farm buildings like farmhouse, dwellings, farmsteads, sheds, stables, barns, equipment sheds, feed bunkers, etc. plus the open space in between them and the shrubbery/trees around them.;landmarks outdoors > farm;farm;1;1;landuse;landuse > common landuse key values rural agricultural land
paddy;landuse > common landuse key values rural agricultural land > paddy;An area of land where the surface and shape of the land is made suitable for growing rice.;['farm', 'field', 'hill', 'farmers market', 'dosa place', 'botanical garden', 'hainan restaurant', 'village', 'island', 'food truck', 'forest', 'building land surveyor', 'agriculture forestry service', 'lake', 'kuruyemisci shop', 'culinary school', 'garden center', 'town', 'landscaper gardener', 'shanxi restaurant', 'afghan restaurant', 'scenic lookout', 'organization', 'canal', 'heliport', 'donburi restaurant', 'housewares store', 'garden', 'dongbei restaurant', 'landmarks outdoors'];[0.45929479598999023, 0.3799208998680115, 0.34446001052856445, 0.3062819838523865, 0.2917807102203369, 0.2759370803833008, 0.2612186074256897, 0.25565963983535767, 0.2539239525794983, 0.2538333535194397, 0.2530508041381836, 0.25205427408218384, 0.24710965156555176, 0.24663378298282623, 0.23934456706047058, 0.23655447363853455, 0.23211552202701569, 0.22875449061393738, 0.22410857677459717, 0.22347328066825867, 0.2227906733751297, 0.22019857168197632, 0.21953198313713074, 0.2189941555261612, 0.21873950958251953, 0.21818989515304565, 0.2155902087688446, 0.21532222628593445, 0.21052002906799316, 0.20992036163806915];farm;An area of land where the surface and shape of the land is made suitable for growing rice.;landmarks outdoors > farm;farm;1;1;landuse;landuse > common landuse key values rural agricultural land
animal keeping;landuse > common landuse key values rural agricultural land > animal keeping;An area of land that is used to keep animals, particularly horses and livestock.;['farm', 'nature preserve', 'field', 'animal shelter', 'national park', 'stable', 'village', 'environmental organization', 'state provincial park', 'equestrian facility', 'natural park', 'hunting area', 'hill', 'organization', 'forest', 'agriculture forestry service', 'zoo', 'dog park', 'landmarks outdoors', 'farmers market', 'town', 'great outdoors', 'race track', 'lake', 'fishing area', 'trailer park', 'botanical garden', 'veterinarian', 'industrial estate', 'historic protected site'];[0.6438227891921997, 0.4702310562133789, 0.44842803478240967, 0.4414178133010864, 0.40262359380722046, 0.397599458694458, 0.32142430543899536, 0.311744749546051, 0.31027764081954956, 0.3078107535839081, 0.3059249818325043, 0.305449903011322, 0.29082685708999634, 0.29081153869628906, 0.2896100878715515, 0.2891327142715454, 0.2847551703453064, 0.28143012523651123, 0.2794957458972931, 0.27456098794937134, 0.2735372483730316, 0.27261409163475037, 0.27229583263397217, 0.26612868905067444, 0.2638174295425415, 0.25536951422691345, 0.2523013949394226, 0.24785909056663513, 0.24340519309043884, 0.2410355806350708];farm;An area of land that is used to keep animals, particularly horses and livestock.;landmarks outdoors > farm;farm;1;1;landuse;landuse > common landuse key values rural agricultural land
flowerbed;landuse > common landuse key values rural agricultural land > flowerbed;An area designated for flowers;['garden', 'botanical garden', 'farm', 'flower store', 'field', 'forest', 'village', 'garden center', 'hill', 'state provincial park', 'landscaper gardener', 'scenic lookout', 'town', 'nature preserve', 'great outdoors', 'island', 'natural park', 'landmarks outdoors', 'plaza', 'national park', 'waterfront', 'trailer park', 'picnic area', 'city', 'canal', 'sculpture garden', 'bathing area', 'county', 'tree', 'agriculture forestry service'];[0.5914146900177002, 0.4921385645866394, 0.4880983829498291, 0.46978557109832764, 0.46099960803985596, 0.37863999605178833, 0.37469664216041565, 0.3334892690181732, 0.3312641382217407, 0.32939183712005615, 0.31534653902053833, 0.31385719776153564, 0.31112122535705566, 0.31049609184265137, 0.3103898763656616, 0.3053590655326843, 0.3007594347000122, 0.29922613501548767, 0.2961084842681885, 0.29127615690231323, 0.28577107191085815, 0.2840091586112976, 0.2793051302433014, 0.27787312865257263, 0.273617684841156, 0.2712709605693817, 0.2704976797103882, 0.26790550351142883, 0.2651776969432831, 0.2638651430606842];garden;An area designated for flowers;landmarks outdoors > garden;garden;1;1;landuse;landuse > common landuse key values rural agricultural land
forest;landuse > common landuse key values rural agricultural land > forest;Managed forest or woodland plantation (Other languages). Some use this to map an area of trees rather than the use of the land. See Forest.;['farm', 'forest', 'agriculture forestry service', 'field', 'village', 'town', 'botanical garden', 'nature preserve', 'state provincial park', 'hill', 'building land surveyor', 'organization', 'scenic lookout', 'states municipalities', 'national park', 'great outdoors', 'environmental organization', 'landmarks outdoors', 'natural park', 'city', 'trailer park', 'town hall', 'state', 'county', 'industrial estate', 'farmers market', 'real estate appraiser', 'lodge', 'neighborhood', 'community government'];[0.5139516592025757, 0.48155784606933594, 0.4325999617576599, 0.40582698583602905, 0.3986620306968689, 0.35406994819641113, 0.342024564743042, 0.34139350056648254, 0.32853811979293823, 0.3281778395175934, 0.32118433713912964, 0.31970280408859253, 0.3157355785369873, 0.3076038956642151, 0.30749407410621643, 0.30611541867256165, 0.30174434185028076, 0.3016915023326874, 0.2974502146244049, 0.2917501628398895, 0.2906380295753479, 0.2878490686416626, 0.287619948387146, 0.28068822622299194, 0.27977675199508667, 0.2778857946395874, 0.2753704786300659, 0.26822802424430847, 0.26612406969070435, 0.26534003019332886];forest;Managed forest or woodland plantation (Other languages). Some use this to map an area of trees rather than the use of the land. See Forest.;landmarks outdoors > forest;forest;1;1;landuse;landuse > common landuse key values rural agricultural land
logging;landuse > common landuse key values rural agricultural land > logging;An area where some or all trees have been cut down;['farm', 'forest', 'agriculture forestry service', 'logging service', 'tree service', 'field', 'village', 'hill', 'nature preserve', 'tree', 'town', 'state provincial park', 'environmental organization', 'building land surveyor', 'national park', 'natural park', 'hunting area', 'landscaper gardener', 'dump', 'botanical garden', 'states municipalities', 'great outdoors', 'scenic lookout', 'landmarks outdoors', 'farmers market', 'county', 'industrial estate', 'city', 'town hall', 'government department'];[0.48352617025375366, 0.4680224657058716, 0.4538954496383667, 0.38458746671676636, 0.3611568212509155, 0.3560410141944885, 0.3491596579551697, 0.32901591062545776, 0.3091919422149658, 0.2953609824180603, 0.29313087463378906, 0.28538474440574646, 0.27297380566596985, 0.2690936028957367, 0.2677098512649536, 0.2652580142021179, 0.26138168573379517, 0.25866007804870605, 0.2573946714401245, 0.2535820007324219, 0.25217047333717346, 0.25075358152389526, 0.23942944407463074, 0.2387293577194214, 0.23636536300182343, 0.23566754162311554, 0.23434413969516754, 0.233120858669281, 0.23264557123184204, 0.23204100131988525];logging service;An area where some or all trees have been cut down;business professional services > logging service;logging service;1;1;landuse;landuse > common landuse key values rural agricultural land
greenhouse horticulture;landuse > common landuse key values rural agricultural land > greenhouse horticulture;Area used for growing plants in greenhouses;['farm', 'botanical garden', 'field', 'garden', 'garden center', 'environmental organization', 'forest', 'landscaper gardener', 'agriculture forestry service', 'farmers market', 'village', 'hill', 'nature preserve', 'town', 'island', 'natural park', 'state provincial park', 'fruit vegetable store', 'culinary school', 'agriturismo', 'national park', 'hot spring', 'aquarium', 'great outdoors', 'vegan vegetarian restaurant', 'city', 'health food store', 'housewares store', 'county', 'herbs spices store'];[0.5166484117507935, 0.438408225774765, 0.4181583523750305, 0.35720306634902954, 0.34256744384765625, 0.33720946311950684, 0.3253670632839203, 0.3104308843612671, 0.30749207735061646, 0.29732802510261536, 0.28687167167663574, 0.2860430181026459, 0.265202134847641, 0.2540123164653778, 0.24113434553146362, 0.23552203178405762, 0.22902649641036987, 0.2262621521949768, 0.22141273319721222, 0.21716047823429108, 0.21699658036231995, 0.213990718126297, 0.21078062057495117, 0.20645318925380707, 0.20603281259536743, 0.20563340187072754, 0.2056162804365158, 0.20520886778831482, 0.20413318276405334, 0.19919951260089874];farm;Area used for growing plants in greenhouses;landmarks outdoors;landmarks outdoors;0;1;landuse;landuse > common landuse key values rural agricultural land
meadow;landuse > common landuse key values rural agricultural land > meadow;A meadow or pasture: land primarily vegetated by grass and non-woody plants, mainly used for hay or grazing;['farm', 'field', 'botanical garden', 'forest', 'garden', 'hill', 'village', 'nature preserve', 'garden center', 'natural park', 'agriculture forestry service', 'national park', 'farmers market', 'stable', 'great outdoors', 'animal shelter', 'town', 'equestrian facility', 'trailer park', 'state provincial park', 'landscaper gardener', 'lake', 'athletic field', 'scenic lookout', 'park', 'football field', 'canal', 'stoop sale', 'herbs spices store', 'landmarks outdoors'];[0.6066992282867432, 0.46714746952056885, 0.4119071066379547, 0.3906678557395935, 0.3869608938694, 0.342786967754364, 0.33171361684799194, 0.3110891282558441, 0.31055891513824463, 0.29668235778808594, 0.29284149408340454, 0.29281142354011536, 0.2830660045146942, 0.28286629915237427, 0.27401435375213623, 0.27183058857917786, 0.2662082016468048, 0.2550164759159088, 0.24988318979740143, 0.2477763146162033, 0.24711474776268005, 0.24564263224601746, 0.24319948256015778, 0.23565398156642914, 0.2319435179233551, 0.22725367546081543, 0.226078063249588, 0.2231220006942749, 0.22260704636573792, 0.22230686247348785];field;A meadow or pasture: land primarily vegetated by grass and non-woody plants, mainly used for hay or grazing;landmarks outdoors > farm;farm;0;0;landuse;landuse > common landuse key values rural agricultural land
orchard;landuse > common landuse key values rural agricultural land > orchard;intentional planting of trees or shrubs maintained for food production;['farm', 'field', 'agriculture forestry service', 'forest', 'farmers market', 'botanical garden', 'village', 'hill', 'landscaper gardener', 'vineyard', 'garden center', 'fruit vegetable store', 'nature preserve', 'kuruyemisci shop', 'tree', 'garden', 'state provincial park', 'tree service', 'environmental organization', 'housewares store', 'great outdoors', 'culinary school', 'food truck', 'national park', 'town', 'landmarks outdoors', 'natural park', 'scenic lookout', 'food stand', 'agriturismo'];[0.5677828788757324, 0.449636846780777, 0.4283394515514374, 0.42096084356307983, 0.4022448658943176, 0.3962457776069641, 0.3483232259750366, 0.3427635431289673, 0.3409937024116516, 0.32734495401382446, 0.3269527554512024, 0.3265834152698517, 0.32441073656082153, 0.3165445625782013, 0.3135170042514801, 0.3032245934009552, 0.29716360569000244, 0.2961444556713104, 0.29166147112846375, 0.28978073596954346, 0.28811246156692505, 0.28763872385025024, 0.28753113746643066, 0.2830353379249573, 0.2811563014984131, 0.2806970775127411, 0.27801579236984253, 0.2679763734340668, 0.26703616976737976, 0.264102578163147];farm;intentional planting of trees or shrubs maintained for food production;landmarks outdoors > farm;farm;1;1;landuse;landuse > common landuse key values rural agricultural land
plant nursery;landuse > common landuse key values rural agricultural land > plant nursery;intentional planting of plants maintaining for the production of new plants;['farm', 'botanical garden', 'field', 'garden', 'garden center', 'agriculture forestry service', 'farmers market', 'forest', 'landscaper gardener', 'village', 'environmental organization', 'hill', 'tree', 'state provincial park', 'natural park', 'island', 'nursery school', 'nature preserve', 'town', 'fruit vegetable store', 'organization', 'vineyard', 'flower store', 'military base', 'building land surveyor', 'canal', 'herbs spices store', 'scenic lookout', 'cabin', 'national park'];[0.4803714454174042, 0.4346986413002014, 0.3828599750995636, 0.37155669927597046, 0.33774828910827637, 0.328549325466156, 0.32125502824783325, 0.31384363770484924, 0.3101000189781189, 0.2985602915287018, 0.2927883267402649, 0.2843310832977295, 0.2734612822532654, 0.259616881608963, 0.25333088636398315, 0.25245046615600586, 0.2499932050704956, 0.24255895614624023, 0.241127610206604, 0.2409301996231079, 0.23060107231140137, 0.23028242588043213, 0.23017126321792603, 0.2281627357006073, 0.22546839714050293, 0.223623126745224, 0.22233738005161285, 0.22097797691822052, 0.2206420749425888, 0.21926167607307434];garden center;intentional planting of plants maintaining for the production of new plants;business professional services > agriculture forestry service;agriculture forestry service;0;0;landuse;landuse > common landuse key values rural agricultural land
vineyard;landuse > common landuse key values rural agricultural land > vineyard;A piece of land where grapes are grown.;['vineyard', 'farm', 'field', 'farmers market', 'botanical garden', 'winery', 'agriculture forestry service', 'wine store', 'fruit vegetable store', 'forest', 'garden center', 'garden', 'village', 'vegan vegetarian restaurant', 'hill', 'landscaper gardener', 'kuruyemisci shop', 'housewares store', 'agriturismo', 'wine bar', 'sake bar', 'herbs spices store', 'real estate appraiser', 'food court', 'island', 'canal', 'nature preserve', 'tree', 'industrial estate', 'skydiving drop zone'];[0.5314585566520691, 0.49882417917251587, 0.3968324065208435, 0.37826547026634216, 0.36318379640579224, 0.33719539642333984, 0.334578275680542, 0.3290247619152069, 0.32063400745391846, 0.309978723526001, 0.2891639471054077, 0.28288424015045166, 0.27578258514404297, 0.2672185003757477, 0.25834932923316956, 0.25361746549606323, 0.2523786425590515, 0.25125348567962646, 0.2504238486289978, 0.2475467473268509, 0.2449789047241211, 0.24296920001506805, 0.232570081949234, 0.23003852367401123, 0.22856402397155762, 0.22548866271972656, 0.2230231910943985, 0.222022145986557, 0.2211032509803772, 0.22063297033309937];vineyard;A piece of land where grapes are grown.;dining drinking > vineyard;vineyard;1;1;landuse;landuse > common landuse key values rural agricultural land
basin;landuse > common landuse key values waterbody > basin;"An area artificially graded to hold water.
Together with basin=* for stormwater/rainwater infiltration/detention/retention basins.
Other languages.";['lake', 'dam', 'island', 'river', 'reservoir', 'bay', 'well', 'waterfall', 'bathing area', 'bridge', 'water park', 'hot spring', 'swimming pool', 'canal', 'hill', 'farm', 'building land surveyor', 'waterfront', 'floating market', 'canoe kayak rental', 'canal lock', 'water treatment service', 'fountain', 'field', 'utility company', 'water sports', 'geological service', 'surf spot', 'state provincial park', 'mountain'];[0.40152814984321594, 0.39161837100982666, 0.38964182138442993, 0.3892160654067993, 0.38112637400627136, 0.3807382583618164, 0.3687169551849365, 0.3632521331310272, 0.3374805450439453, 0.3304656744003296, 0.32994043827056885, 0.32815971970558167, 0.31272339820861816, 0.3095706105232239, 0.2824168801307678, 0.275709331035614, 0.27559322118759155, 0.26997727155685425, 0.26980918645858765, 0.2679091989994049, 0.26465266942977905, 0.25881585478782654, 0.25212720036506653, 0.25081291794776917, 0.24634429812431335, 0.2440875619649887, 0.24231013655662537, 0.23727008700370789, 0.23117491602897644, 0.22913338243961334];reservoir;"An area artificially graded to hold water.
Together with basin=* for stormwater/rainwater infiltration/detention/retention basins.
Other languages.";landmarks outdoors > reservoir;reservoir;1;1;landuse;landuse > common landuse key values waterbody
salt pond;landuse > common landuse key values waterbody > salt pond;A place where salt (saline) water is evaporated to extract its salt.;['lake', 'reservoir', 'floating market', 'river', 'swimming pool supply store', 'bathing area', 'bay', 'island', 'hot spring', 'canoe kayak rental', 'farm', 'canal', 'waterfront', 'water treatment service', 'fishing area', 'fish market', 'well', 'field', 'water park', 'bubble tea shop', 'boat ferry', 'poke restaurant', 'utility company', 'botanical garden', 'gymnastics center', 'farmers market', 'dive spot', 'hubei restaurant', 'kuruyemisci shop', 'swimming pool'];[0.5190600156784058, 0.4050784409046173, 0.3944941759109497, 0.3259410262107849, 0.3221672773361206, 0.32187193632125854, 0.3077279031276703, 0.30043426156044006, 0.2937490940093994, 0.29336416721343994, 0.29033809900283813, 0.28871452808380127, 0.28816407918930054, 0.2872236371040344, 0.28329724073410034, 0.2780083119869232, 0.2721298038959503, 0.2703596353530884, 0.2588738799095154, 0.24998289346694946, 0.24529892206192017, 0.24460825324058533, 0.24231022596359253, 0.23324307799339294, 0.23130661249160767, 0.23090513050556183, 0.22955083847045898, 0.22900205850601196, 0.22826561331748962, 0.228114515542984];lake;A place where salt (saline) water is evaporated to extract its salt.;landmarks outdoors;landmarks outdoors;0;1;landuse;landuse > common landuse key values waterbody
